OBJECTID,Identificador del parque,Estrato,UPZ,Localidad,Estado Certificación,Clasificación del Parque,Nombre del Parque,Administración del Parque,Código Localidad,Código POT,coord_x,coord_y
1881,05-093,2,57,Usme,CERTIFICADO,Vecinal,SAN ANDRÉS DE LOS ALTOS I SECTOR,,5,,"-74,11953320890109","4,525161986445778"
1883,05-351,1,52,Usme,CERTIFICADO,Bolsillo,DESARROLLO VILLA DIANA,,5,,"-74,08941325662583","4,501696030003783"
1901,01-100,4,13,Usaquén,CERTIFICADO,Vecinal,URBANIZACIÓN LA SONORA,,1,,"-74,02670873156684","4,727948358837884"
1905,01-211,5,13,Usaquén,CERTIFICADO,Bolsillo,URBANIZACIÓN NUEVA AUTOPISTA II SECTOR,,1,,"-74,04677943422709","4,722108784209174"
1908,01-215,5,13,Usaquén,CERTIFICADO,Bolsillo,URBANIZACIÓN NUEVA AUTOPISTA II SECTOR,,1,,"-74,04729918867068","4,71846788443424"
1910,08-623,3,48,Kennedy,INVESTIGADO NO CERTIFICADO,Vecinal,RENANIA I Y II ETAPA,,8,,"-74,1471799325617","4,602744420467229"
1916,01-261,5,15,Usaquén,CERTIFICADO,Vecinal,URB. ALTOS DEL COUNTRY CLUB-AGRUP. VIVIENDA COUNTRY PLAZA-TORRES DEL COUNTRY-URB.MIRADOR DEL COUNTRY,,1,,"-74,047078690896","4,715589744291866"
1919,01-010,6,15,Usaquén,CERTIFICADO,Vecinal,LA CALLEJA,,1,,"-74,04700230669823","4,707167428095452"
1927,01-091,4,13,Usaquén,CERTIFICADO,Vecinal,URBANIZACIÓN AUTOPISTA NORTE II SECTOR,,1,,"-74,0483406401647","4,72524524182887"
1937,08-221,3,46,Kennedy,CERTIFICADO,Vecinal,VILLA ALSACIA,,8,,"-74,13552244795812","4,641836173696083"
1942,16-121,3,40,Puente Aranda,CERTIFICADO,Bolsillo,VERAGUAS CENTRAL (BARRIO COMUNEROS Y BOCHICA),,16,,"-74,09947338124569","4,605198116691515"
1944,16-228,3,40,Puente Aranda,CERTIFICADO,Bolsillo,URBANIZACIÓN SANTA ISABEL OCCIDENTAL,,16,,"-74,1032586271806","4,601590436878837"
1955,16-254,3,41,Puente Aranda,CERTIFICADO,Bolsillo,MUZÚ,,16,,"-74,12845668890375","4,600420274569618"
1957,16-258,3,41,Puente Aranda,CERTIFICADO,Bolsillo,MUZÚ I ETAPA,,16,,"-74,13283834432208","4,594743703008249"
1958,16-259,3,41,Puente Aranda,CERTIFICADO,Bolsillo,MUZÚ,,16,,"-74,13000343915184","4,600014315568669"
1962,16-265,3,41,Puente Aranda,CERTIFICADO,Bolsillo,MUZÚ I ETAPA,,16,,"-74,13138437297486","4,5982917478070675"
1964,16-268,3,41,Puente Aranda,CERTIFICADO,Bolsillo,MUZÚ I ETAPA,,16,,"-74,13102187940153","4,597485388180301"
1972,16-062,3,41,Puente Aranda,CERTIFICADO,Bolsillo,MUZÚ,,16,,"-74,12897773467559","4,6017141543037345"
1973,11-112,2,28,Suba,CERTIFICADO,Bolsillo,DESARROLLO CIUDAD HUNZA,,11,,"-74,08546190500839","4,720458665300647"
1978,11-212,2,71,Suba,CERTIFICADO,Zonal Existente,TIBABUYES,IDRD,11,PZ48,"-74,10946631861967","4,746054340489392"
1979,10-200,4,31,Engativa,CERTIFICADO,Vecinal,URBANIZACIÓN NORMANDÍA V SECTOR,,10,,"-74,10315142672616","4,671865167203793"
1981,10-046,3,26,Engativa,CERTIFICADO,Vecinal,URBANIZACIÓN ACAPULCO,,10,,"-74,09484191377916","4,684629690135221"
1985,08-128,2,81,Kennedy,CERTIFICADO,Vecinal,VILLA ANDREA (ANTES JORGE URIBE BOTERO),,8,,"-74,17685677106013","4,623174260020846"
1986,08-515,3,47,Kennedy,CERTIFICADO,Vecinal,CIUDAD KENNEDY ORIENTAL SUPERMANZANA NO. 3,,8,,"-74,14666800828326","4,619312169301907"
1993,08-273,3,44,Kennedy,CERTIFICADO,Vecinal,LAS AMÉRICAS SECTOR AVENIDA GALÁN,,8,,"-74,13797778303064","4,624619496096703"
2014,15-021,3,38,Antonio Nariño,CERTIFICADO,Vecinal,SANTA ISABEL,,15,,"-74,10464631813119","4,595783657069675"
2033,16-280,3,40,Puente Aranda,CERTIFICADO,Bolsillo,MONTES III SECTOR,,16,,"-74,12207600394969","4,603823691148655"
2036,11-668,4,17,Suba,CERTIFICADO,Vecinal,URBANIZACIÓN VILANOVA,,11,,"-74,04974449629884","4,764555632570481"
2050,15-036,3,38,Antonio Nariño,CERTIFICADO,Zonal Existente,VILLA MAYOR CEMENTERIO DEL SUR,IDRD,15,PZ4a,"-74,11843481140458","4,592341784569386"
2052,14-003,3,102,Martires,CERTIFICADO,Vecinal,BARRIO SANTA FE,,14,,"-74,07932191465153","4,61984211892565"
2055,14-001,3,102,Martires,CERTIFICADO,Vecinal,URBANIZACIÓN EL LISTÓN,,14,,"-74,0839615096256","4,6110122630196155"
