OBJECTID,Identificador del parque,Estrato,UPZ,Localidad,Estado Certificación,Clasificación del Parque,Nombre del Parque,Administración del Parque,Código Localidad,Código POT,coord_x,coord_y
2,01-526,3,14,Usaquén,CERTIFICADO,Vecinal,DESARROLLO RESIDENCIAL CERROS DEL COUNTRY,,1,,"-74,02525998976205","4,701549179907316"
13,04-380,3,33,San Cristobal,CERTIFICADO,Vecinal,SANTA ANA SUR ETAPA I,,4,,"-74,08135252985099","4,575140846781565"
14,12-175,4,22,Barrios Unidos,CERTIFICADO,Vecinal,URBANIZACIÓN CIUDADELA LOS PARQUES ETAPA II,,12,,"-74,08251391541859","4,663209907864102"
23,10-741,3,73,Engativa,CERTIFICADO,Vecinal,DESARROLLO LOS ÁNGELES III,,10,,"-74,11740041438048","4,698698021134308"
24,10-742,3,26,Engativa,CERTIFICADO,Bolsillo,URBANIZACIÓN MARCELA,,10,,"-74,0902736508777","4,674571544066925"
30,10-613,3,31,Engativa,CERTIFICADO,Vecinal,PARQUE EMPRESARIAL NORMANDÍA - BODEGAS,,10,,"-74,10622592650657","4,677774776494316"
32,08-703,3,46,Kennedy,CERTIFICADO,Vecinal,LA PROMESA I,,8,,"-74,13776004218555","4,6525535581555175"
33,19-014,2,66,Ciudad Bolivar,SIN CERTIFICAR,Vecinal,CANDELARIA LA NUEVA,,19,,"-74,14738703600634","4,567698461074125"
36,08-526,3,45,Kennedy,CERTIFICADO,Vecinal,URBANIZACIÓN NUEVAS DELICIAS,,8,,"-74,14691363597888","4,596390931877242"
38,08-214,3,44,Kennedy,CERTIFICADO,Vecinal,LAS AMÉRICAS SECTOR AVENIDA GALÁN,,8,,"-74,13831824362501","4,619343352450362"
44,10-574,3,116,Engativa,CERTIFICADO,Vecinal,URBANIZACIÓN LOS ÁNGELES,,10,,"-74,12285497310756","4,696842990030563"
46,08-707,3,112,Kennedy,INVESTIGADO NO CERTIFICADO,Vecinal,VILLA ALSACIA LOTE 1,,8,,"-74,1252898499478","4,646194283147356"
49,11-566,3,27,Suba,CERTIFICADO,Vecinal,LA FONTANA,,11,,"-74,10354057870387","4,751662799474123"
53,01-337,3,9,Usaquén,CERTIFICADO,Bolsillo,URBANIZACIÓN VILLAS DE ANDALUCÍA I ETAPA,,1,,"-74,03189673858955","4,7568657121928375"
57,18-016,3,36,Rafael Uribe,CERTIFICADO,Vecinal,URBANIZACIÓN GUSTAVO RESTREPO,,18,,"-74,10734943550852","4,574936516384889"
58,18-073,3,53,Rafael Uribe,SIN CERTIFICAR,Metropolitano Propuesto,SANTA LUCIA,,18,PM20,"-74,1204016511596","4,573654434561915"
66,18-139,2,55,Rafael Uribe,CERTIFICADO,Bolsillo,DESARROLLO PALERMO SUR,,18,,"-74,11101828763039","4,5418039743546625"
73,18-436,3,39,Rafael Uribe,CERTIFICADO,Vecinal,"URBANIZACIÓN QUIROGA IV, V, VI ETAPAS",,18,,"-74,11250874540033","4,580465738162404"
77,18-220,3,39,Rafael Uribe,CERTIFICADO,Vecinal,"URBANIZACIÓN QUIROGA I, II, III ETAPA",,18,,"-74,10910228174066","4,578783768498136"
80,18-268,2,53,Rafael Uribe,CERTIFICADO,Vecinal,URBANIZACIÓN HACIENDA LOS MOLINOS,,18,,"-74,10951733663961","4,563837487659926"
81,19-059,1,70,Ciudad Bolivar,INVESTIGADO NO CERTIFICADO,Vecinal,DESARROLLO JERUSALEM,,19,,"-74,17038067379394","4,5665005121496165"
90,10-249,3,30,Engativa,CERTIFICADO,Vecinal,URBANIZACIÓN FLORENCIA I SECTOR,,10,,"-74,10497759255347","4,701000989971259"
91,19-058,1,70,Ciudad Bolivar,CERTIFICADO,Vecinal,DESARROLLO ARBORIZADORA ALTA,,19,,"-74,16317186791204","4,566116927570912"
95,07-406,2,84,Bosa,CERTIFICADO,Bolsillo,DESARROLLO MIAMI,,7,,"-74,19008601141603","4,620500526726202"
99,19-446,1,67,Ciudad Bolivar,CERTIFICADO,Vecinal,DESARROLLO ALTOS DE JALISCO,,19,,"-74,14128115468083","4,555826535811949"
113,19-266,2,65,Ciudad Bolivar,CERTIFICADO,Vecinal,"URBANIZACIÓN PROTECHO BOGOTÁ II, ETAPA I",,19,,"-74,14583328069568","4,571950988908673"
114,19-253,2,65,Ciudad Bolivar,CERTIFICADO,Bolsillo,DESARROLLO ARBORIZADORA BAJA,,19,,"-74,14967404206598","4,572640451029976"
117,19-211,2,65,Ciudad Bolivar,CERTIFICADO,Bolsillo,DESARROLLO ARBORIZADORA BAJA,,19,,"-74,15267625531379","4,573644281564979"
121,19-051,2,66,Ciudad Bolivar,CERTIFICADO,Bolsillo,URBANIZACIÓN CANDELARIA LA NUEVA PRIMER SECTOR,,19,,"-74,15003777711104","4,570698883077776"
126,19-067,1,70,Ciudad Bolivar,INVESTIGADO NO CERTIFICADO,Bolsillo,DESARROLLO JERUSALEM,,19,,"-74,15980656595701","4,57390249662931"
127,19-068,2,69,Ciudad Bolivar,INVESTIGADO NO CERTIFICADO,Vecinal,DESARROLLO SIERRA MORENA,,19,,"-74,1629277960985","4,583184794817685"
132,07-313,2,85,Bosa,CERTIFICADO,Bolsillo,DESARROLLO PROVIDENCIA,,7,,"-74,21341348831602","4,61534351978531"
133,05-113,1,58,Usme,CERTIFICADO,Bolsillo,SERRANÍAS,,5,,"-74,1134439827901","4,499303054164189"
139,10-170,2,29,Engativa,CERTIFICADO,Vecinal,URBANIZACIÓN CIUDAD BACHUÉ II SEGUNDA ETAPA,,10,,"-74,10761582371953","4,711478734593035"
148,10-472,3,29,Engativa,CERTIFICADO,Bolsillo,URBANIZACIÓN QUIRIGUA,,10,,"-74,10097737617782","4,708908007545039"
154,08-720,3,46,Kennedy,CERTIFICADO,Vecinal,VILLA MARIANA,,8,,"-74,1450594404689","4,642946662572214"
161,05-142,2,58,Usme,CERTIFICADO,Bolsillo,EL VIRREY,,5,,"-74,10956489210326","4,501155895421822"
174,08-704,3,46,Kennedy,CERTIFICADO,Bolsillo,LA PROMESA I,,8,,"-74,13670781629801","4,6521488561474555"
182,10-022,3,31,Engativa,CERTIFICADO,Vecinal,URBANIZACIÓN LOS MONJES,,10,,"-74,11293255168675","4,680382771774583"
185,10-050,3,72,Engativa,CERTIFICADO,Vecinal,URBANIZACIÓN BOLIVIA ORIENTAL III ETAPA,,10,,"-74,10748900271182","4,721262391331628"
187,10-126,2,73,Engativa,CERTIFICADO,Vecinal,"URBANIZACIÓN VILLA AMALIA, PROYECTO PROTECHO",,10,,"-74,12499268680266","4,711331850283505"
192,10-316,3,29,Engativa,CERTIFICADO,Vecinal,URBANIZACIÓN QUIRIGUA,,10,,"-74,10703335204687","4,708582242924916"
198,02-152,4,97,Chapinero,CERTIFICADO,Bolsillo,CHICO NORTE,,2,,"-74,06071812087524","4,652761311020541"
204,01-441,6,16,Usaquén,CERTIFICADO,Bolsillo,SANTA BÁRBARA NORTE,,1,,"-74,03920566979471","4,701553794243765"
209,18-323,2,54,Rafael Uribe,CERTIFICADO,Vecinal,DESARROLLO GOVAROVA,,18,,"-74,11868466028372","4,557107407866137"
216,16-175,3,41,Puente Aranda,CERTIFICADO,Bolsillo,MUZÚ,,16,,"-74,12962037370932","4,599607441213724"
217,16-278,3,40,Puente Aranda,CERTIFICADO,Bolsillo,MONTES III SECTOR,,16,,"-74,12161721951188","4,604711055895672"
223,10-006,3,30,Engativa,CERTIFICADO,Vecinal,URBANIZACIÓN LA CONSOLACIÓN,,10,,"-74,10039281098142","4,683768049856493"
224,10-032,3,30,Engativa,CERTIFICADO,Vecinal,URBANIZACIÓN CONJUNTO ZARZAMORA CAFAM,,10,,"-74,10779776984464","4,6966249456123075"
226,10-743,2,29,Engativa,CERTIFICADO,Vecinal,CIUDAD BACHUÉ I ETAPA,,10,,"-74,10282328428013","4,718805228515514"
232,18-427,3,39,Rafael Uribe,CERTIFICADO,Vecinal,"CONJUNTO RESIDENCIAL CON FAMILIAR ASEGURADORES II, AGRUPACIÓN RESIDENCIAL SAMOA",,18,,"-74,12044886840755","4,582974311183296"
237,08-585,2,81,Kennedy,CERTIFICADO,Bolsillo,VILLA ZARZAMORA,,8,,"-74,1778714091904","4,6182860274964295"
247,18-398,2,54,Rafael Uribe,CERTIFICADO,Bolsillo,DESARROLLO CALLEJÓN DE SANTA BÁRBARA I Y II SECTOR,,18,,"-74,11494588958836","4,557502927665814"
258,08-681,2,82,Kennedy,CERTIFICADO,Bolsillo,DESARROLLO TAYRONA,,8,,"-74,15834606206106","4,640282429995587"
266,14-016,3,102,Martires,CERTIFICADO,Vecinal,URBANIZACIÓN SANTA FE III SECTOR,,14,,"-74,07804891879977","4,614580413074586"
267,09-281,3,75,Fontibon,CERTIFICADO,Bolsillo,PARCELACIÓN LA CABAÑA,,9,,"-74,13924092391457","4,683937489717521"
272,19-486,2,69,Ciudad Bolivar,CERTIFICADO,Vecinal,URBANIZACIÓN RIVERA DEL SUR,,19,,"-74,16994183644702","4,590880312698767"
276,09-026,3,75,Fontibon,CERTIFICADO,Vecinal,VILLA HELENA,,9,,"-74,13980731125204","4,672220056207769"
279,19-512,1,67,Ciudad Bolivar,CERTIFICADO,Bolsillo,DESARROLLO LA ESTRELLA DEL SUR,,19,,"-74,14504334759975","4,547223030842506"
287,09-313,4,114,Fontibon,CERTIFICADO,Vecinal,URBANIZACIÓN LA ESPERANZA,,9,,"-74,11669687540953","4,663195859378954"
289,04-402,2,32,San Cristobal,CERTIFICADO,Vecinal,LA SAGRADA FAMILIA,,4,,"-74,07866792854827","4,565458045695004"
297,19-201,1,70,Ciudad Bolivar,CERTIFICADO,Bolsillo,DESARROLLO ARBORIZADORA ALTA,,19,,"-74,15895752910527","4,568230832865056"
300,19-087,2,66,Ciudad Bolivar,CERTIFICADO,Vecinal,DESARROLLO ACACIAS III PARTE BAJA,,19,,"-74,14001269577041","4,563065990129204"
303,19-139,1,69,Ciudad Bolivar,CERTIFICADO,Vecinal,DESARROLLO ESPINO III SECTOR,,19,,"-74,17405655523288","4,583919895698378"
307,19-235,1,70,Ciudad Bolivar,INVESTIGADO NO CERTIFICADO,Bolsillo,DESARROLLO JERUSALEM,,19,,"-74,16860566208132","4,571291754218279"
310,08-722,2,79,Kennedy,INVESTIGADO NO CERTIFICADO,Vecinal,PRIMAVERA,,8,,"-74,161495107637","4,645278224104951"
321,19-149,2,69,Ciudad Bolivar,CERTIFICADO,Vecinal,URBANIZACIÓN LA ESTANCIA,,19,,"-74,17211837667617","4,5934825632211265"
324,19-097,1,70,Ciudad Bolivar,INVESTIGADO NO CERTIFICADO,Vecinal,DESARROLLO JERUSALÉN,,19,,"-74,16434129519806","4,573223599044049"
339,16-057,3,40,Puente Aranda,CERTIFICADO,Vecinal,LAS CARABELAS,,16,,"-74,1124115562206","4,606891906571505"
340,16-092,3,40,Puente Aranda,CERTIFICADO,Vecinal,VILLA INÉS,,16,,"-74,1101863457185","4,6060431906238914"
343,16-059,3,40,Puente Aranda,CERTIFICADO,Vecinal,VILLA INÉS,,16,,"-74,10954328582406","4,606911493743088"
350,08-313,3,45,Kennedy,CERTIFICADO,Vecinal,CARVAJAL,,8,,"-74,1431218206643","4,608852628140076"
356,08-021,3,45,Kennedy,CERTIFICADO,Vecinal,CARVAJAL,JUNTA DE ACCION COMUNAL CARVAJAL TECHO,8,,"-74,13518568932105","4,6106276575915555"
359,08-189,2,45,Kennedy,CERTIFICADO,Vecinal,VALENCIA LA CHUCUA,,8,,"-74,14398565187045","4,6060105276874195"
365,10-135,2,74,Engativa,CERTIFICADO,Bolsillo,DESARROLLO VILLA EL DORADO NORTE,,10,,"-74,12852809598567","4,701574983170685"
373,02-146,1,90,Chapinero,CERTIFICADO,Bolsillo,DESARROLLO PARDO RUBIO,,2,,"-74,05641187857586","4,634469019810637"
376,01-274,2,14,Usaquén,CERTIFICADO,Vecinal,EL PAÑUELITO,,1,,"-74,02293940782121","4,704514848571709"
379,01-299,6,13,Usaquén,CERTIFICADO,Vecinal,URBANIZACIÓN SIERRAS DEL MORAL,,1,,"-74,02416733115274","4,719190566261552"
387,11-041,4,27,Suba,CERTIFICADO,Vecinal,URBANIZACIÓN PINAR DE SUBA I,,11,,"-74,08559531066712","4,750067603474409"
393,07-052,2,85,Bosa,CERTIFICADO,Vecinal,DESARROLLO ANTONIA SANTOS,,7,,"-74,18892293746484","4,6130965380524875"
395,07-142,2,85,Bosa,INVESTIGADO NO CERTIFICADO,Vecinal,DESARROLLO PIAMONTE I,,7,,"-74,18946314475085","4,607441832770446"
396,19-496,1,67,Ciudad Bolivar,CERTIFICADO,Bolsillo,DESARROLLO EL MIRADOR,,19,,"-74,15954822081193","4,548075414602159"
399,07-141,2,85,Bosa,CERTIFICADO,Bolsillo,DESARROLLO PIAMONTE I,,7,,"-74,19075822074313","4,608852374911547"
400,07-162,2,85,Bosa,INVESTIGADO NO CERTIFICADO,Bolsillo,DESARROLLO PIAMONTE I,,7,,"-74,19027150139493","4,604137451860529"
406,19-268,2,69,Ciudad Bolivar,INVESTIGADO NO CERTIFICADO,Bolsillo,DESARROLLO LA ESTANCIA,,19,,"-74,17760015839877","4,5923386071908165"
407,19-270,2,66,Ciudad Bolivar,CERTIFICADO,Vecinal,URBANIZACIÓN CANDELARIA LA NUEVA PRIMER SECTOR,,19,,"-74,14840215473528","4,567095600631774"
415,19-141,1,69,Ciudad Bolivar,CERTIFICADO,Bolsillo,DESARROLLO RINCÓN DE GALICIA,,19,,"-74,17570638446486","4,588017657116277"
436,16-132,3,41,Puente Aranda,CERTIFICADO,Vecinal,ALCALÁ,,16,,"-74,12527068169628","4,601699669521917"
438,16-093,3,41,Puente Aranda,CERTIFICADO,Bolsillo,MUZÚ I ETAPA,,16,,"-74,13324765224898","4,594839874701741"
440,16-099,3,43,Puente Aranda,CERTIFICADO,Zonal Existente,MILENTA TEJAR SAN EUSEBIO,IDRD,16,PZ68,"-74,12541765326328","4,613000537609198"
443,19-221,1,66,Ciudad Bolivar,CERTIFICADO,Vecinal,"DESARROLLO SAN LUIS, URBANIZACIÓN COMPARTIR",,19,,"-74,14541527213609","4,55774012089803"
446,16-220,3,41,Puente Aranda,CERTIFICADO,Vecinal,URBANIZACIÓN SAN EUSEBIO,,16,,"-74,12334112921206","4,60314901735927"
447,16-080,3,41,Puente Aranda,CERTIFICADO,Vecinal,MUZÚ,,16,,"-74,12749815415626","4,599172798637069"
457,16-384,3,41,Puente Aranda,CERTIFICADO,Vecinal,URBANIZACIÓN MUZÚ SEGUNDA ETAPA,,16,,"-74,13028667885922","4,60091434226587"
459,13-019,4,104,Teusaquillo,CERTIFICADO,Vecinal,EL SALITRE I SECTOR,,13,,"-74,09904521633351","4,654636608306111"
477,04-011,2,34,San Cristobal,CERTIFICADO,Vecinal,URBANIZACIÓN GRANADA SUR,,4,,"-74,08691801883755","4,569179882937481"
480,18-110,2,55,Rafael Uribe,CERTIFICADO,Vecinal,DESARROLLO DIANA TURBAY,,18,,"-74,10512844035091","4,543242849226017"
483,18-327,2,54,Rafael Uribe,CERTIFICADO,Vecinal,NUEVO PENSILVANIA,,18,,"-74,11228823639671","4,560545264771779"
487,18-121,3,39,Rafael Uribe,CERTIFICADO,Bolsillo,URBANIZACIÓN QUIROGA VII ETAPA,,18,,"-74,11512277550348","4,5803302612477115"
491,07-253,2,85,Bosa,CERTIFICADO,Bolsillo,URBANIZACIÓN LA AMISTAD,,7,,"-74,18675516569118","4,601672395531418"
496,10-118,3,72,Engativa,CERTIFICADO,Vecinal,BOLIVIA - MANZANA 5,,10,,"-74,11476072075716","4,718506544443291"
500,16-261,3,41,Puente Aranda,CERTIFICADO,Bolsillo,MUZÚ,,16,,"-74,13084422722348","4,600324536571619"
504,16-161,3,43,Puente Aranda,CERTIFICADO,Vecinal,LOS EUCALIPTOS,,16,,"-74,11446233994565","4,619969413466542"
505,16-164,3,40,Puente Aranda,CERTIFICADO,Vecinal,LA PRIMAVERA,JAC PRIMAVERA Y GORGONZOLA,16,,"-74,10782208634107","4,616637382172518"
512,16-225,3,43,Puente Aranda,CERTIFICADO,Bolsillo,GORGONZOLA,,16,,"-74,10633676513791","4,619077643667857"
517,16-166,3,43,Puente Aranda,CERTIFICADO,Vecinal,PHILIPS DESARROLLO INDUSTRIAL,,16,,"-74,11068924956402","4,622395973217213"
526,09-257,3,75,Fontibon,CERTIFICADO,Vecinal,CONJUNTO RESIDENCIAL TARENTO,,9,,"-74,14026714357465","4,667495094891247"
539,11-005,5,20,Suba,CERTIFICADO,Vecinal,"URBANIZACIÓN PUENTE LARGO TERCERO Y CUARTO SECTOR, DIVINO SALVADOR",,11,,"-74,06540838981448","4,698490849909454"
548,13-025,4,100,Teusaquillo,CERTIFICADO,Bolsillo,URBANIZACIÓN BELALCAZAR,,13,,"-74,07739994080423","4,635324837442141"
551,11-196,3,27,Suba,CERTIFICADO,Vecinal,URBANIZACIÓN COMPARTIR,,11,,"-74,10329425346643","4,756742331798498"
553,11-141,5,24,Suba,CERTIFICADO,Vecinal,URBANIZACIÓN NIZA SUR III SECTOR,,11,,"-74,07510673681827","4,709368502853385"
556,11-092,2,71,Suba,CERTIFICADO,Vecinal,URBANIZACIÓN TIBABUYES UNIVERSAL,CAMEP,11,,"-74,10995380378165","4,7453803947034725"
569,10-386,3,31,Engativa,CERTIFICADO,Vecinal,URBANIZACIÓN SANTA CECILIA,,10,,"-74,1111135175845","4,675447519904885"
570,11-770,4,24,Suba,CERTIFICADO,Vecinal,URBANIZACIÓN ECHEVERRÍA,,11,,"-74,06203891698158","4,723951456875875"
575,13-185,4,101,Teusaquillo,CERTIFICADO,Vecinal,LA ESTRELLA,,13,,"-74,07834204895843","4,624892816582328"
589,01-095,3,11,Usaquén,CERTIFICADO,Vecinal,URBANIZACIÓN AGRUPACIÓN DE VIVIENDA EL DORADO I ETAPA,,1,,"-74,03031568931647","4,732929973239209"
591,10-694,3,72,Engativa,CERTIFICADO,Vecinal,URBANIZACIÓN BOLIVIA ORIENTAL I ETAPA,,10,,"-74,11330837356397","4,716179982084334"
592,19-689,1,67,Ciudad Bolivar,CERTIFICADO,Vecinal,DESARROLLO BELLA FLOR,,19,,"-74,16138103192654","4,540336410602789"
598,08-243,3,45,Kennedy,CERTIFICADO,Bolsillo,CIUDAD KENNEDY SUPERMANZANA 6A,,8,,"-74,14829301436899","4,617010093577047"
599,08-255,2,83,Kennedy,CERTIFICADO,Vecinal,URBANIZACIÓN LA MARGARITA PRIMERA ETAPA,,8,,"-74,17724095535432","4,630085320893606"
602,08-315,3,44,Kennedy,CERTIFICADO,Bolsillo,AVENIDA PRIMERO DE MAYO - LA LLANURA,,8,,"-74,13266773628332","4,612282830440096"
607,05-213,2,57,Usme,CERTIFICADO,Vecinal,LA AURORA II,,5,,"-74,11967942049337","4,51978971228756"
609,14-017,3,37,Martires,CERTIFICADO,Vecinal,URBANIZACIÓN VERAGUAS II,,14,,"-74,09615748438549","4,601175128512798"
637,11-090,5,24,Suba,CERTIFICADO,Vecinal,URBANIZACIÓN IBERIA I Y II ETAPA,,11,,"-74,06597058516368","4,7191080171198525"
656,10-250,3,73,Engativa,CERTIFICADO,Vecinal,URBANIZACIÓN EL MORTIÑO,,10,,"-74,12307745031998","4,713444895373536"
657,10-251,3,30,Engativa,CERTIFICADO,Vecinal,URBANIZACIÓN CONJUNTO ZARZAMORA CAFAM,,10,,"-74,10839153154377","4,696094900284443"
664,09-139,3,75,Fontibon,CERTIFICADO,Vecinal,URBANIZACIÓN COSTABELLA,,9,,"-74,13450543063982","4,676297512530722"
667,09-148,2,76,Fontibon,CERTIFICADO,Bolsillo,DESARROLLO PRADOS DE LA ALAMEDA I Y II,,9,,"-74,16769462665278","4,696957951637187"
668,09-154,4,110,Fontibon,CERTIFICADO,Vecinal,CIUDAD SALITRE ETAPA 1 SECTOR 1,,9,,"-74,11038695569113","4,660770931069406"
670,09-156,4,110,Fontibon,CERTIFICADO,Vecinal,CIUDAD SALITRE ETAPA 1 SECTOR 1,,9,,"-74,10843373574329","4,657719206660616"
672,09-159,4,110,Fontibon,CERTIFICADO,Vecinal,"URBANIZACIÓN CIUDAD SALITRE TERCERA ETAPA DE DESARROLLO SECTOR 1 SM1-5, SM1-6, SM1-8, SM1-9",,9,,"-74,10872932054849","4,65099597267322"
680,03-131,1,92,Santa Fe,CERTIFICADO,Vecinal,LA PAZ CENTRAL,,3,,"-74,0640544867475","4,607301119644092"
682,04-335,1,32,San Cristobal,CERTIFICADO,Vecinal,DESARROLLO RAMAJAL,,4,,"-74,08075615001195","4,560584414910908"
686,01-505,4,13,Usaquén,CERTIFICADO,Vecinal,EL CEDRO BOLÍVAR,,1,,"-74,04588853812888","4,733689675455095"
695,09-076,3,114,Fontibon,CERTIFICADO,Bolsillo,URBANIZACIÓN CAPELLANÍA I Y II ETAPA,,9,,"-74,13213703856292","4,6681697308903125"
697,09-073,3,114,Fontibon,CERTIFICADO,Bolsillo,URBANIZACIÓN CAPELLANÍA I Y II ETAPA,,9,,"-74,13185916449272","4,669516732077046"
705,09-018,3,75,Fontibon,CERTIFICADO,Vecinal,SAN SEBASTIÁN,,9,,"-74,13620004672778","4,673127528524048"
708,09-041,3,75,Fontibon,CERTIFICADO,Vecinal,BATAVIA,,9,,"-74,15200089918825","4,683894330100255"
713,05-039,2,58,Usme,CERTIFICADO,Vecinal,CHUNIZA I,,5,,"-74,11268622644934","4,505954803306612"
715,05-103,1,52,Usme,CERTIFICADO,Vecinal,LA ESPERANZA - LA CABAÑA,,5,,"-74,09413051993937","4,51251670794194"
716,05-031,2,57,Usme,CERTIFICADO,Vecinal,LA AURORA II-URBANIZACIÓN NUEVA COSTARICA,,5,,"-74,12076963299016","4,527266255031611"
717,05-038,1,61,Usme,INVESTIGADO NO CERTIFICADO,Vecinal,DEPORTIVO USME,,5,,"-74,12172238258725","4,473808116942941"
720,11-1028,4,19,Suba,CERTIFICADO,Bolsillo,TIERRA LINDA,,11,,"-74,05705802193752","4,709691642170791"
724,05-165,1,58,Usme,CERTIFICADO,Vecinal,ANTONIO JOSÉ DE SUCRE I Y II SECTOR,,5,,"-74,11448261806572","4,494006971579731"
739,05-294,1,58,Usme,CERTIFICADO,Bolsillo,DESARROLLO LORENZO ALCANTUZ I,,5,,"-74,11575973448967","4,495244661427485"
741,05-333,1,58,Usme,CERTIFICADO,Bolsillo,SERRANÍAS,,5,,"-74,11423347166914","4,498564735606221"
748,05-298,1,58,Usme,CERTIFICADO,Bolsillo,DESARROLLO LORENZO ALCANTUZ I,,5,,"-74,11506820105333","4,496180619196863"
779,08-445,4,44,Kennedy,CERTIFICADO,Bolsillo,MANDALAY I SECTOR,,8,,"-74,14518390699226","4,630018149274989"
783,04-051,3,34,San Cristobal,CERTIFICADO,Vecinal,URBANIZACIÓN MONTEBELLO,,4,,"-74,08981042382166","4,566402963865294"
787,04-040,2,34,San Cristobal,CERTIFICADO,Vecinal,URBANIZACIÓN LAS GUACAMAYAS,,4,,"-74,10097780197927","4,561942233976218"
788,10-663,3,73,Engativa,CERTIFICADO,Vecinal,PREDIO ÓNIX,,10,,"-74,11572630188975","4,6995382302185345"
791,11-186,3,24,Suba,CERTIFICADO,Vecinal,LAS VILLAS TERCER SECTOR,,11,,"-74,06567937784887","4,715455045723679"
793,11-192,4,19,Suba,CERTIFICADO,Vecinal,URBANIZACIÓN COLPATRIA SANTA HELENA,,11,,"-74,05541012228677","4,729642104142753"
803,07-147,2,85,Bosa,CERTIFICADO,Vecinal,PIAMONTE I ETAPA,,7,,"-74,1912119018518","4,6050637596088375"
806,11-246,2,71,Suba,CERTIFICADO,Vecinal,URBANIZACIÓN LA SABANA DE TIBABUYES,,11,,"-74,10768994371361","4,747062711191788"
809,19-679,1,64,Ciudad Bolivar,CERTIFICADO,Vecinal,URBANIZACIÓN PATICOS,,19,,"-74,1476169355488","4,51038184452011"
813,11-562,3,17,Suba,CERTIFICADO,Bolsillo,URBANIZACIÓN NUEVA ZELANDIA,,11,,"-74,04640471503188","4,757455126859444"
819,01-304,6,13,Usaquén,CERTIFICADO,Vecinal,"URBANIZACIÓN MONTE ARROYO, URBANIZACIÓN CIUDADELA REAL SEGUNDA ETAPA",,1,,"-74,02408682323866","4,716042460893092"
836,04-396,1,32,San Cristobal,CERTIFICADO,Bolsillo,SAN JERÓNIMO DE YUSTE SECTOR A,,4,,"-74,06832621128208","4,564560134646933"
842,09-203,3,75,Fontibon,CERTIFICADO,Vecinal,URBANIZACIÓN PRADO GRANDE,,9,,"-74,13883047872054","4,667233766533872"
848,11-981,3,19,Suba,CERTIFICADO,Bolsillo,CONJUNTO RESIDENCIAL MÁLAGA,,11,,"-74,0607300886806","4,716181339277908"
856,13-039,5,106,Teusaquillo,CERTIFICADO,Vecinal,URBANIZACIÓN NICOLÁS DE FEDERMAN 2 SECTOR,,13,,"-74,08366417984297","4,6521176348769995"
857,16-019,3,40,Puente Aranda,CERTIFICADO,Vecinal,EL JAZMÍN II SECTOR,,16,,"-74,11886649142448","4,608695104230771"
859,11-1005,3,24,Suba,INVESTIGADO NO CERTIFICADO,Vecinal,SAN RAFAEL NORTE 1 ETAPAS I-II-III-IV,,11,,"-74,06218663864183","4,72050020348977"
860,11-1008,6,3,Suba,CERTIFICADO,Vecinal,DESARROLLO RECREACIONAL BOGOTÁ TENNIS CLUB CAMPESTRE,,11,,"-74,03589732057952","4,82023770981232"
862,01-465,6,16,Usaquén,CERTIFICADO,Bolsillo,EDIFICIO LA CABAÑA,,1,,"-74,04035150372812","4,689574559491558"
870,19-255,2,65,Ciudad Bolivar,CERTIFICADO,Bolsillo,DESARROLLO ARBORIZADORA BAJA,,19,,"-74,15045157796183","4,573819357720087"
876,07-360,2,84,Bosa,CERTIFICADO,Bolsillo,DESARROLLO SAN BERNARDINO SECTOR VILLA EMMA,,7,,"-74,20352410154148","4,623423763893479"
880,10-728,3,30,Engativa,CERTIFICADO,Vecinal,URBANIZACIÓN DIAMANTE DE ZARZAMORA,,10,,"-74,10736491797246","4,699765972286384"
881,15-082,3,38,Antonio Nariño,CERTIFICADO,Bolsillo,URBANIZACIÓN RECODO DEL RESTREPO,,15,,"-74,10241232435142","4,593088425764833"
893,19-187,1,67,Ciudad Bolivar,CERTIFICADO,Vecinal,"DESARROLLO DOMINGO LAÍN I, DESARROLLO DOMINGO LAÍN II, DESARROLLO BARRIO GIBRALTAR",,19,,"-74,14194490906448","4,556272743807958"
897,19-286,1,67,Ciudad Bolivar,CERTIFICADO,Vecinal,DESARROLLO ALTOS DE JALISCO,,19,,"-74,14040582953062","4,5595700460849065"
905,19-190,1,69,Ciudad Bolivar,CERTIFICADO,Zonal Existente,SIERRA MORENA,,19,PZ73,"-74,16795543497838","4,576847524405848"
910,19-319,1,70,Ciudad Bolivar,INVESTIGADO NO CERTIFICADO,Bolsillo,DESARROLLO JERUSALÉN,,19,,"-74,17161569651117","4,5706536798965365"
913,19-328,1,69,Ciudad Bolivar,CERTIFICADO,Vecinal,DESARROLLO CASA LOMA,,19,,"-74,1749725821503","4,5887671829072225"
916,19-305,2,69,Ciudad Bolivar,CERTIFICADO,Vecinal,URBANIZACIÓN CALABRIA,,19,,"-74,16864492474745","4,588053725279"
922,19-203,1,70,Ciudad Bolivar,CERTIFICADO,Vecinal,DESARROLLO ARBORIZADORA ALTA,,19,,"-74,15936219992868","4,5669536921696405"
924,13-172,4,106,Teusaquillo,CERTIFICADO,Bolsillo,URBANIZACIÓN PABLO VI I Y II ETAPA,,13,,"-74,08772674962995","4,6489583108049395"
928,14-029,3,37,Martires,CERTIFICADO,Vecinal,URBANIZACIÓN SANTA ISABEL CUARTO SECTOR,,14,,"-74,10402708245638","4,597336256386682"
