VIVIENDAS,HOGAR,PERSONA,Comercial,Lotes,Longitud,Latitud
52,103,516,0,6,-74.20579393,4.621572658
16,19,90,0,121,-74.20576921,4.61585309
17,19,77,0,35,-74.2057637,4.608655047
40,48,196,5,43,-74.20571895,4.607099619
31,36,153,0,26,-74.20569625,4.605569749
268,268,914,18,1,-74.20564261,4.636315573
14,22,96,0,16,-74.20559536,4.621938942
14,18,78,0,17,-74.20558879,4.618528282
15,19,76,0,16,-74.20556517,4.622569739
8,9,33,0,3,-74.20555284,4.605298115
26,35,131,6,39,-74.20550042,4.608531057
29,39,173,0,17,-74.20549784,4.606456656
36,44,195,0,55,-74.20545268,4.623087675
16,20,106,0,41,-74.20543516,4.606972266
22,23,102,0,27,-74.20536552,4.624081204
14,21,77,0,13,-74.20534874,4.622077795
17,24,90,0,18,-74.20534532,4.618626583
14,18,64,0,18,-74.20530276,4.622691147
24,26,112,0,28,-74.20527097,4.62380942
32,38,144,8,44,-74.20520554,4.608390302
11,12,59,0,15,-74.20517829,4.618291295
21,24,82,0,23,-74.20517174,4.623535806
17,20,89,0,17,-74.20510303,4.618726264
42,53,226,0,17,-74.20509824,4.606296436
12,13,57,0,12,-74.20509296,4.622229679
15,19,74,0,18,-74.20496417,4.622994226
31,39,158,0,28,-74.20494802,4.605955637
34,43,165,0,48,-74.20494228,4.608260786
15,17,59,0,17,-74.2048777,4.622737411
7,7,28,8,26,-74.20486774,4.621816797
15,23,80,0,17,-74.20486317,4.618828139
5,5,21,0,2,-74.20480548,4.60568272
14,17,85,7,16,-74.20478707,4.6224069
122,124,488,10,1,-74.2047555,4.636718832
29,39,157,0,40,-74.2046834,4.608135312
246,262,1016,9,1,-74.2046457,4.634117367
55,82,321,7,15,-74.20460897,4.606547242
11,12,55,0,10,-74.20457934,4.621174128
10,13,54,0,11,-74.20447776,4.61723066
3,3,10,0,3,-74.20438807,4.623559877
27,36,120,0,26,-74.20433805,4.618925139
165,155,510,7,1,-74.20424393,4.633227224
25,28,102,0,27,-74.2041794,4.60635511
6,7,32,0,12,-74.20413322,4.622116442
66,125,619,0,8,-74.20405168,4.623795035
4,4,24,0,16,-74.20404361,4.621866662
13,15,64,0,5,-74.20403706,4.606084396
4,4,19,0,2,-74.20399501,4.624034408
18,18,92,5,19,-74.20395793,4.621615224
24,27,108,6,36,-74.20395478,4.62252686
36,42,179,15,47,-74.20390691,4.607942389
64,86,330,15,76,-74.20385259,4.607315995
238,240,917,16,1,-74.20382772,4.632305334
411,394,149,0,6,-74.20382363,4.611238981
8,9,43,0,12,-74.20375108,4.620857175
96,96,365,12,2,-74.20375046,4.634524186
7,8,32,0,16,-74.20366423,4.622362271
76,113,447,0,75,-74.20366094,4.60701672
23,37,134,21,20,-74.20365267,4.6101351
15,16,65,0,4,-74.20354604,4.61889626
12,13,59,0,20,-74.20353171,4.6220797
13,14,44,0,12,-74.2034638,4.623077906
25,35,128,6,34,-74.20343379,4.60785937
20,42,150,9,21,-74.20341806,4.610500339
34,42,196,0,28,-74.20341131,4.606756571
7,9,39,0,7,-74.20339523,4.619636676
20,21,88,0,22,-74.20337158,4.62178459
10,11,35,0,15,-74.20335065,4.608207273
12,12,45,0,12,-74.20334112,4.622824472
8,9,37,0,7,-74.20331422,4.620988602
7,7,30,0,9,-74.20327184,4.620783504
23,26,116,0,34,-74.20325824,4.621554713
3,3,6,0,4,-74.20325223,4.620473184
16,21,89,7,19,-74.20324082,4.61818748
256,268,988,16,1,-74.20321431,4.638579842
22,22,97,0,13,-74.20320945,4.622568144
18,33,145,7,19,-74.20318359,4.610869791
13,13,57,0,14,-74.20317351,4.623505963
14,14,50,0,14,-74.20309355,4.62230608
7,7,26,30,2,-74.20307536,4.630566987
8,10,46,0,5,-74.20307451,4.620558888
13,14,61,0,16,-74.20303953,4.623259611
36,35,153,0,52,-74.20303693,4.621355598
4,4,22,0,4,-74.20302063,4.614028068
21,32,117,0,21,-74.20295381,4.611237076
229,228,883,27,1,-74.20293255,4.63271212
17,19,87,0,14,-74.20291347,4.623009906
10,10,42,0,7,-74.20289697,4.621953555
24,24,79,8,11,-74.20278804,4.60955777
13,13,53,0,14,-74.2027806,4.622753755
11,15,53,0,9,-74.20275797,4.608771989
24,35,145,0,27,-74.20271878,4.608512283
10,10,36,0,4,-74.20269252,4.609821458
221,225,851,19,1,-74.2026748,4.629750169
17,20,84,0,15,-74.20265585,4.622503296
13,15,57,0,73,-74.2026295,4.620972192
84,131,520,17,89,-74.20257376,4.606846293
68,135,638,0,6,-74.20255012,4.622299597
52,103,517,0,10,-74.20253694,4.619578426
29,41,156,0,32,-74.20252823,4.60828503
16,21,92,0,22,-74.20248396,4.620589416
20,22,70,0,15,-74.20245439,4.622107984
29,44,175,0,62,-74.20242184,4.607633797
66,75,330,0,72,-74.20240291,4.622961704
260,260,893,19,2,-74.20235731,4.639044386
21,24,114,0,20,-74.20235265,4.619944603
65,65,227,10,26,-74.2023502,4.60958909
54,86,339,6,54,-74.20233394,4.60732006
4,4,17,0,13,-74.20227883,4.621942033
17,22,97,0,14,-74.2022781,4.606685498
105,107,442,0,1,-74.20227296,4.628859842
39,49,177,25,36,-74.20223625,4.608799601
59,58,175,0,27,-74.20223242,4.610185849
38,64,251,10,43,-74.20216543,4.60810283
25,30,101,0,23,-74.20216144,4.621740253
55,55,184,0,23,-74.20203815,4.610542542
23,27,107,0,23,-74.20201985,4.621493006
32,52,210,9,38,-74.20200786,4.606568058
37,39,119,0,40,-74.20191579,4.620115246
230,229,880,16,1,-74.20189418,4.638184479
11,12,46,0,22,-74.20188315,4.621242592
232,241,897,25,1,-74.20187186,4.627977023
52,50,163,11,25,-74.20184901,4.609107781
18,22,80,0,33,-74.20183404,4.62382441
15,13,44,0,17,-74.20177985,4.620954891
215,215,792,14,2,-74.20177944,4.6301569
13,14,56,0,1,-74.20177245,4.623371824
37,37,147,0,15,-74.20176899,4.609570431
3,6,19,0,5,-74.20176208,4.622909487
52,56,204,0,68,-74.20175052,4.623609086
27,27,97,0,25,-74.20168291,4.621878598
13,13,54,0,8,-74.20165061,4.62260891
990,962,3523,33,21,-74.20161398,4.603583577
246,253,924,15,1,-74.20158873,4.635561312
31,41,167,0,55,-74.20157142,4.623236144
24,31,131,8,20,-74.20151171,4.608084853
40,50,188,7,51,-74.20149864,4.620065083
6,8,35,0,8,-74.20146431,4.621424988
30,34,147,0,24,-74.20140301,4.621994718
14,14,65,0,14,-74.20139877,4.622670113
89,89,308,9,34,-74.20139271,4.61002169
239,242,954,12,1,-74.20137743,4.629266703
35,50,199,8,27,-74.20136226,4.606778604
80,88,329,10,38,-74.20133784,4.61075683
25,26,98,7,22,-74.20132458,4.62059902
26,44,182,9,26,-74.20130752,4.607852369
65,65,251,20,30,-74.20123942,4.609275229
37,37,145,0,19,-74.20121224,4.611492338
3,3,19,0,5,-74.2011759,4.622829911
23,28,113,0,25,-74.20115234,4.622112405
33,33,128,0,26,-74.20113864,4.611833211
13,21,83,0,17,-74.20113131,4.622969053
230,231,866,25,1,-74.20112505,4.634700518
33,63,197,13,31,-74.20110642,4.607613437
16,20,87,0,18,-74.2010908,4.62160202
4,4,5,0,1,-74.2010691,4.63047389
8,9,35,0,8,-74.201068,4.625997372
46,56,227,0,36,-74.2010642,4.621222307
27,26,94,0,29,-74.20101013,4.619909781
239,246,941,24,1,-74.20097019,4.628370604
45,45,156,10,16,-74.20096994,4.608413451
83,83,321,5,56,-74.20095402,4.61208828
95,97,306,10,36,-74.20095188,4.610655182
3,3,14,0,5,-74.20092508,4.618709432
31,63,237,0,26,-74.20092349,4.607113005
13,17,58,0,16,-74.20089278,4.625640212
7,7,32,0,8,-74.20087131,4.623099376
40,43,178,5,33,-74.2008507,4.623840053
81,81,284,12,31,-74.20082197,4.609190044
47,44,181,0,48,-74.20082069,4.612347451
0,0,0,0,4,-74.20080976,4.627186858
0,0,0,6,1,-74.20079262,4.619176668
6,7,30,0,7,-74.20079162,4.626106785
12,21,80,0,13,-74.20078175,4.620885151
32,32,131,0,30,-74.2007652,4.611537818
241,243,892,13,2,-74.20073119,4.636025084
27,26,101,0,28,-74.20072668,4.61261669
17,24,99,5,24,-74.20068261,4.619994613
53,53,173,11,16,-74.20068082,4.609970252
15,19,75,0,17,-74.20066069,4.622738434
235,247,903,19,1,-74.20064552,4.633810427
25,35,140,0,21,-74.20064547,4.624754061
21,30,117,0,16,-74.20064206,4.625741626
41,47,182,0,28,-74.20061916,4.622462394
20,21,85,0,20,-74.2006059,4.625307479
30,56,199,8,28,-74.20059343,4.606613443
8,8,29,0,15,-74.20057705,4.612869791
24,36,146,0,23,-74.20057225,4.62212427
33,51,200,13,35,-74.20056622,4.605883157
27,29,123,0,25,-74.20056161,4.623133158
21,30,125,0,23,-74.20054365,4.618802808
61,68,261,6,28,-74.20054313,4.610664406
4,5,21,0,8,-74.20053933,4.626208143
17,19,75,0,17,-74.20047329,4.618475769
22,22,85,0,16,-74.20046519,4.621074387
23,33,123,0,24,-74.20045034,4.61818025
26,40,145,0,29,-74.20044751,4.624310053
6,13,39,0,5,-74.20044272,4.604410505
17,17,56,0,11,-74.20042773,4.617946753
40,40,161,12,23,-74.20041384,4.607933995
9,13,58,0,7,-74.20040561,4.604062371
