"mgrid","Latitud.Inferior","Latitud.Superior","Longitud.Inferior","Longitud.Superior","semaf_count_m","colegios_count_m","paraderos_count_m","parques_count_m","estaciones_count_m","viasprincipales_count_m","viassecundarias_count_m","viviendas_count_m","hogares_count_m","personas_count_m","comercial_count_m","lotes_count_m"
124,4.62707,4.63941,-74.09664,-74.08327,10,10,29,10,3,2,321,6335,6196,16905,833,1911
125,4.62707,4.63941,-74.08327,-74.06991,28,18,48,15,2,7,623,3781,3694,9790,542,1344
126,4.62707,4.63941,-74.06991,-74.05655,26,7,63,31,2,7,681,NA,NA,NA,NA,NA
127,4.61474,4.62707,-74.2169,-74.20353,NA,2,5,5,0,1,374,1324,1757,7811,31,1414
128,4.61474,4.62707,-74.20353,-74.19017,2,14,35,31,0,NA,1475,12294,15931,64818,979,10105
129,4.61474,4.62707,-74.19017,-74.17681,5,10,73,36,0,NA,1354,13457,17612,68370,1362,9181
130,4.61474,4.62707,-74.17681,-74.16345,7,20,65,42,0,NA,1282,23783,26501,92257,2840,9785
131,4.61474,4.62707,-74.16345,-74.15009,18,32,68,56,0,NA,866,14322,15705,55045,2046,6523
132,4.61474,4.62707,-74.15009,-74.13672,12,20,69,50,0,1,742,12851,13296,46824,2357,5946
133,4.61474,4.62707,-74.13672,-74.12336,5,15,49,22,0,2,602,13365,14419,48520,1866,4244
134,4.61474,4.62707,-74.12336,-74.11,6,27,49,19,0,2,708,15171,17386,57201,2635,7772
135,4.61474,4.62707,-74.11,-74.09664,13,4,50,16,3,1,455,3499,3677,12366,1669,1939
136,4.61474,4.62707,-74.09664,-74.08327,10,4,44,6,3,5,352,2394,2465,7847,813,872
137,4.61474,4.62707,-74.08327,-74.06991,36,19,61,13,3,10,586,3694,3825,12125,1084,1765
138,4.6024,4.61474,-74.2169,-74.20353,NA,2,20,14,0,NA,584,3737,4344,16006,283,2087
139,4.6024,4.61474,-74.20353,-74.19017,1,20,83,49,0,NA,1221,16487,21065,75907,2317,9441
140,4.6024,4.61474,-74.19017,-74.17681,11,20,61,40,0,1,1208,13680,16499,59305,2336,7869
141,4.6024,4.61474,-74.17681,-74.16345,5,30,83,36,0,NA,1532,20204,24423,87255,2140,10916
