"","dgrid","sem_count_d"
"1",6,2
"2",7,9
"3",8,10
"4",9,15
"5",12,7
"6",13,17
"7",14,23
"8",15,33
"9",17,5
"10",18,32
"11",19,15
"12",20,33
"13",21,5
"14",22,23
"15",23,22
"16",24,40
"17",25,47
"18",26,28
"19",28,1
"20",29,11
"21",30,19
"22",31,16
"23",32,150
"24",34,8
"25",35,25
"26",36,38
"27",37,23
"28",38,38
"29",39,10
"30",40,28
"31",41,31
"32",42,36
"33",43,89
"34",44,6
"35",45,30
"36",46,53
"37",47,71
"38",49,10
"39",50,16
"40",51,18
"41",52,1
"42",53,7
"43",55,12
"44",NA,243
