OBJECTID,Identificador unico del nodo,Nombre del nodo,Tipo del nodo,Modo de transporte,Modalidad de transporte,Dirección,coord_x,coord_y
98,E43,NORMANDIA,Estación,Terrestre,Transporte masivo,AC 26 -KR73A,"-74,11325633999999","4,668992611653318"
99,E104,EL TIEMPO - MALOKA,Estación,Terrestre,Transporte masivo,AC 26 -KR 68D,"-74,1056952395","4,657169881152906"
100,E103,SALITRE - EL GRECO,Estación,Terrestre,Transporte masivo,AC 26 -KR 66A,"-74,10170228550001","4,650949561652709"
101,E45,NQS CALLE 30 SUR,Estación,Terrestre,Transporte masivo,Autopista Sur - CL 30 Sur,"-74,11805394550001","4,594761722650868"
102,E166,TERREROS HOSPITAL C.V.,Estación,Terrestre,Transporte masivo,KR 7 CL 33 Soacha,"-74,19891533350003","4,589303974650718"
103,E167,C.C. SANTAFE,Estación,Terrestre,Transporte masivo,Autopista Norte - CL 185,"-74,04446831049998","4,763239871656387"
104,E168,LA DESPENSA,Estación,Terrestre,Transporte masivo,TV 7 CL 55 Soacha,"-74,1881947315","4,594587591150904"
105,E170,LEON XIII,Estación,Terrestre,Transporte masivo,TV 7 CL 47 Soacha,"-74,19318211250001","4,5921755011508125"
106,E171,SAN MATEO,Estación,Terrestre,Transporte masivo,KR 4 CL 30 Soacha,"-74,2058365535","4,585801836150592"
107,E115,COLISEO,Estación,Terrestre,Transporte masivo,AK 30 - CL 63,"-74,07837190699999","4,649879517652691"
108,E121,ESCUELA MILITAR,Estación,Terrestre,Transporte masivo,AC 80 - KR 52,"-74,0698144355","4,6755480086535"
109,E91,UNIVERSIDAD NACIONAL,Estación,Terrestre,Transporte masivo,AK 30 - CL 47,"-74,07934275299999","4,636971289152265"
110,E153,LA CAMPIÑA,Estación,Terrestre,Transporte masivo,Avenida Suba - KR 99B,"-74,09116201699999","4,742626190155706"
111,E113,AVENIDA CALI,Estación,Terrestre,Transporte masivo,AC 80 - KR 85,"-74,1002147675","4,702427486154366"
112,E48,NARIÑO,Estación,Terrestre,Transporte masivo,Avenida Caracas - CL 10 Sur,"-74,093912421","4,586319010150625"
113,E73,SAN VICTORINO,Estación,Terrestre,Transporte masivo,AK 10 - CL 12,"-74,07747146","4,60091383965109"
114,E106,CAN,Estación,Terrestre,Transporte masivo,AC 26 - AK 60,"-74,09910588349999","4,646963486652584"
115,E64,GOBERNACIÓN,Estación,Terrestre,Transporte masivo,AC 26 -KR 54,"-74,096580251","4,642929601652467"
116,E65,QUINTA PAREDES,Estación,Terrestre,Transporte masivo,AC 26 -KR 45,"-74,093159421","4,637598484152305"
117,P151,PORTAL DE SUBA,Portal,Terrestre,Transporte masivo,Avenida Suba 103-40,"-74,09331671768442","4,7470866716559"
118,E74,MUSEO DEL ORO,Estación,Terrestre,Transporte masivo,AC 13 - KR  6,"-74,07296528","4,601185396651097"
119,T1908,CORABASTOS CENTRAL DE ABASTOS,Terminal,Terrestre,Transporte mercancias,AK 80 34-81 Sur,"-74,15943588600001","4,630749495152058"
120,T1903,CODABAS CENTRAL DE ABASTOS DEL NORTE,Terminal,Terrestre,Transporte mercancias,AK 7 180-81,"-74,02632700000001","4,7570630156561595"
121,T1111,TERMINAL DE TRANSPORTES DE BOGOTA,Terminal,Terrestre,Transporte interdepartamental,CL 22C  69-11,"-74,11558588499997","4,653436307652838"
122,T1112,TERMINAL DE TRANSPORTES DEL SUR,Terminal,Terrestre,Transporte interdepartamental,CL 57Q Sur 75F-82,"-74,17652008349998","4,597651001650979"
123,T1113,AEROPUERTO EL DORADO,Terminal,Aéreo,Aeronave,AC 26 - KR 96A,"-74,14630698799999","4,701610170654368"
124,T1902,AEROPUERTO GUAYMARAL,Terminal,Aéreo,Aeronave,AC 235 - AK 104,"-74,064066755","4,814069969658016"
125,E6,BICENTENARIO,Estación,Terrestre,Transporte masivo,AK 10 - CL 4,"-74,08220247199998","4,593488023650828"
126,E16,CALLE 40 SUR,Estación,Terrestre,Transporte masivo,Avenida Caracas - CL 40 Sur,"-74,12008856850002","4,575779683650266"
127,E49,HORTUA,Estación,Terrestre,Transporte masivo,Avenida Caracas - CL 2 Sur,"-74,0903242695","4,590742103650744"
128,E71,AV JIMENEZ,Estación,Terrestre,Transporte masivo,Avenida Caracas - CL 11,"-74,08052374249999","4,602743665651129"
129,E75,CALLE 19,Estación,Terrestre,Transporte masivo,Avenida Caracas - CL 19,"-74,0769131985","4,607789148151307"
130,E77,CALLE 22,Estación,Terrestre,Transporte masivo,Avenida Caracas - CL 22,"-74,074700286","4,6116731196514475"
131,E80,CALLE 26,Estación,Terrestre,Transporte masivo,Avenida Caracas - CL 28,"-74,07218004449999","4,616600678651617"
132,E94,AV 39,Estación,Terrestre,Transporte masivo,Avenida Caracas - CL 39,"-74,0687143005","4,626788637151906"
133,E95,CALLE 45,Estación,Terrestre,Transporte masivo,Avenida Caracas - CL 45,"-74,06788155400002","4,631425963152106"
134,E97,MARLY,Estación,Terrestre,Transporte masivo,Avenida Caracas - CL 49,"-74,0667908305","4,637444943152267"
135,E99,CALLE 57,Estación,Terrestre,Transporte masivo,Avenida Caracas - CL 57,"-74,06582740599998","4,642980276652452"
136,E100,CALLE 63,Estación,Terrestre,Transporte masivo,Avenida Caracas - CL 63,"-74,06488256900002","4,648302985152643"
137,E131,HEROES,Estación,Terrestre,Transporte masivo,Autopista Norte - CL 81,"-74,0603222725","4,66817334715327"
138,E157,ALCALA,Estación,Terrestre,Transporte masivo,Autopista Norte - CL 136,"-74,051469137","4,721096443155016"
139,E158,CALLE 142,Estación,Terrestre,Transporte masivo,Autopista Norte - CL 145,"-74,0505126345","4,726863245655183"
140,E172,TERMINAL,Estación,Terrestre,Transporte masivo,Autopista Norte - CL 190,"-74,0435567385","4,7687953876565565"
141,T1915,TERMINAL DE PASAJEROS DE TRANSPORTE INTERURBANO DEL NORTE,Terminal,Terrestre,Transporte interdepartamental,Autopista Norte - CL 192,"-74,04362536650001","4,769532233656573"
142,E180,ESTACION BOSA,Estación,Terrestre,Transporte masivo,Autopista Sur - KR 71A,"-74,18129276899998","4,596905012150961"
143,E118,AV CHILE,Estación,Terrestre,Transporte masivo,AK 30 - CL 71,"-74,07465911450001","4,666253257153205"
144,E130,LA CASTELLANA,Estación,Terrestre,Transporte masivo,AK 30 - CL 86,"-74,06442456100001","4,675626647653512"
145,E110,GRANJA - CARRERA 77,Estación,Terrestre,Transporte masivo,AC 80 - KR 77,"-74,0958559165","4,699120631654278"
146,E169,AV. ROJAS,Estación,Terrestre,Transporte masivo,AC 26 -KR 69D,"-74,10875739849999","4,6619856376530855"
147,E57,RICAURTE,Estación,Terrestre,Transporte masivo,AC 13 - KR 27,"-74,0906996395","4,612909396651462"
148,E59,AMERICAS - CARRERA 53A,Estación,Terrestre,Transporte masivo,Avenida de las Americas - KR 54,"-74,11158961500001","4,627906439651974"
149,E32,TRANSVERSAL 86,Estación,Terrestre,Transporte masivo,AC 3 - KR 79C,"-74,1520416255","4,634173557152168"
150,P9,PORTAL DEL TUNAL,Portal,Terrestre,Transporte masivo,Avenida Boyaca 19C-81,"-74,14009096799998","4,57114007765011"
151,E13,PARQUE,Estación,Terrestre,Transporte masivo,Avenida Ciudad de Villavicencio - CL 56 Sur,"-74,13548152499999","4,568300753650009"
152,E14,BIBLIOTECA,Estación,Terrestre,Transporte masivo,Avenida Ciudad de Villavicencio - CL 51 Sur,"-74,13044822699999","4,570278770150077"
153,E79,MUSEO NACIONAL,Estación,Terrestre,Transporte masivo,AK 7 - CL 29,"-74,06923769749994","4,615219254151622"
154,E154,SUBA AV BOYACA,Estación,Terrestre,Transporte masivo,Avenida Suba - Avenida Boyaca,"-74,074733038","4,721390086655016"
