FID,Código Único Paradero SITP,Nombre Paradero,Dirección Paradero,coord_x,coord_y
6208,606A03,Urb. Rodesia I Etapa,CL 145 - KR 136A,"-74,10993951203463","4,7533627998008985"
6219,246A04,Br. Bochica IV Etapa,KR 102 - CL 83,"-74,10923311282781","4,715915468890996"
6224,198A12,Br. Chuniza I,CL 89 Sur - KR 5B,"-74,10868657870726","4,504044570184245"
6227,301A04,Hospital Engativá,CL 82 - AK 96,"-74,10861304890632","4,712378883614222"
6231,150A07,Conjunto Residencial Santafé del Tintal,CL 6 D - AK 89,"-74,15749949872044","4,649639700005868"
6233,315A03,Br. La Gaitana,KR 126A - CL 137A,"-74,1079976319698","4,744210385247617"
6240,289A07,JARDINES DE CASTILLA,KR 82A - 6B,"-74,15285799976714","4,6408850004416164"
6255,203A12,Br. Gran Yomasa I,CL 81 Sur - KR 4 B Este,"-74,10641292296022","4,509112194830144"
6263,306A06,VILLA CARMENZA,CL 18 - KR 111,"-74,15039275492956","4,6811422013270985"
6269,201A12,Br. Chicó Sur,CL 87B Sur - KR 2B,"-74,10514512161659","4,505244159931992"
6273,273A07,Br. Los Ejidos,CL 9 - KR 41B,"-74,1048770814038","4,618550253810891"
6275,193A04,Br. Primavera Norte,CL 82 - KR 92,"-74,1043919165902","4,707726510343921"
6278,206A12,Br. El Curubo,DG 81 Sur Sur - KR 5B Este,"-74,1040900979261","4,5100316112293735"
6282,530A09,Br. Timiza,KR 73 - CL 38S,"-74,14747238404317","4,616809943842908"
6286,207A12,Br. El Curubo,CL 80 A Sur - KR 5F Este,"-74,10371274621797","4,510045096176081"
6293,367A06,SENA FONTIBON,KR 96C - CL 20A-10/12,"-74,13878141004476","4,670371810565903"
6305,378A12,Br. El Bosque,DG 81 A Bis Sur - TV 6 E,"-74,10194299503966","4,505301849696689"
6313,446A09,Br. La Alqueria,KR 52C - CL 40B Sur,"-74,13385296583351","4,598947152126116"
6317,294A04,Br. Bachué I y II,KR 95 - CL 88,"-74,10099597130422","4,714515588222944"
6330,511A03,Pq. Lagos de Suba,KR 102A - CL 129C,"-74,09944231435907","4,730580086578051"
6342,566A03,Br. Los Almendros del Norte,KR 114 - CL 152D,"-74,09801441346887","4,757830418791657"
6350,181A04,Parque Estadio Tabora,KR 76 - CL 73 A,"-74,0974513862797","4,6921283013165205"
6351,409A11,Colegio Adventista Emmanuel,DG 11 Sur - KR 18A,"-74,09737645690353","4,588826414686309"
6352,250A07,Br. Pensilvania,CL 12 - KR 34 Bis,"-74,09733620878555","4,615815650109189"
6357,302A07,SANTARITA DE ALSCACIA,CL 12C - KR 71B,"-74,12567847730939","4,641442183640592"
6360,253A04,Br. La Granja,CL 76 - KR 77,"-74,09659135809132","4,695475495562334"
6366,488A13,Villa del Cerro,CL 46A Sur - KR 3C E,"-74,09586855654571","4,544454100600352"
6368,283A05,PARQUE EL TREBOL N-S,KR 69 - CL 64C,"-74,0957551729872","4,671188307705422"
6396,358A05,IED República de Colombia,KR 69 - CL 69Bis,"-74,09178334741694","4,67677352091543"
6406,597A03,Br. Rincón-Escuela,KR 93 - CL 129BBis,"-74,09041714821035","4,725936474581915"
6411,357A03,Br. Altos de la Esperanza I Sector,KR 89 - CL 127C,"-74,08991458123306","4,718260172624134"
6415,452A13,Bello Horizonte,DG 28 Sur - KR 2A Este,"-74,08952835686488","4,562682215817085"
6417,447A05,Br. Bellavista,CL 67B - KR 68B,"-74,08920874796488","4,674952764542771"
6434,174A13,Br. Altamira,KR 12 E - CL 43A Sur,"-74,08611127961012","4,543045597353952"
6436,467A13,Br. San José Suroriental,KR 12 Este - CL 42 Sur,"-74,08572007947356","4,545378895182929"
6447,333A12,Br. Portal de San Carlos,KR 13 - CL 28 Sur,"-74,10308780354615","4,5750729813385185"
6480,511A00,Br. Santa Fe,KR 24 - CL 23-60,"-74,07960427805237","4,619098801477262"
6482,229A13,Br. Ramajal,AV. Circunvalar - CL 31 Sur,"-74,0795353727785","4,559450557883448"
6495,475A00,Br. Santa Fe,KR 17 - CL 21 - 18,"-74,07777353485953","4,612282858663805"
6496,228A04,Colegio San Mateo,KR 62 - CL 78,"-74,07775127909836","4,677248527932176"
6499,523A00,Br. Belalcázar,KR 28 - CL 52,"-74,07735540772234","4,64166817035344"
6519,286A07,SALESIANO LEON XIII,AK 36 - CL 17A,"-74,0938995473593","4,621804155212741"
6521,163A04,Br. Jorge Eliecer Gaitan,CL 78 - KR 55B,"-74,07484458685882","4,675044857839977"
6525,408A13,Río San Cristóbal,CL 12 Sur - KR 11 Este,"-74,07409541526805","4,5698521491920205"
6530,580A00,Br. Alcázares,KR 28 A - AC 68,"-74,0729259363289","4,662407981194586"
6532,235A04,Br. Las Ferias Occidental,KR 69Q - CL 75,"-74,08729943991392","4,68777981970098"
6533,287A13,Br. Montecarlo,CL 13A Sur - KR 20B E,"-74,07180807368766","4,567671092219427"
6536,305A02,Br. Casa Blanca El Pinar,TV 77 - CL 160,"-74,07159720315785","4,746124166786926"
6543,531A00,ECCI,KR 18 - CL 50-35,"-74,07048216212493","4,638445314258351"
6546,396A13,Br. San Cristóbal Alto,DG 10 Sur - KR 17 Este,"-74,07067502502655","4,567826630406457"
6572,485A00,Br. Egipto Alto,TV 6 Este - CL 7,"-74,0664866812183","4,589110915157375"
6583,BD-005A,Universidad Javeriana,AK 7 – CL 40,"-74,06505989962893","4,628369009265831"
6584,660A00,Br. La Macarena,KR 4 - DG 30A,"-74,06476467370071","4,6162121679321535"
6602,189A02,Br. Prado Veraniego Sur,CL 127D - KR 53C,"-74,06200165980432","4,712347076152787"
6623,544A00,Br. Siberia Central,DG 47A - TV 1 Este,"-74,0596273891522","4,634158666440573"
6624,783A00,Br. El Paraíso,DG 42 - TV 2 Este,"-74,0595338610564","4,629066545892571"
6629,766A00,Estación Calle 85,Auto Norte - CL 85,"-74,05926865053675","4,672369087797203"
6635,840A00,Br. La Castellana,Auto Norte - CL 94 Bis,"-74,05835321875321","4,682718817414806"
6644,644A00,Urb. Bosque Calderón,CL 60A - KR 3A - 10,"-74,05788557557923","4,644127794149497"
6647,296A00,Parque León de Greiff,CL 84 BIS - KR 13,"-74,05435775132132","4,668858447142426"
6667,628A01,Estación Calle 106,Auto Norte - CL 105,"-74,05574424975838","4,693236066316494"
6684,632A01,Estación Calle 127,Auto Norte - CL 123,"-74,05381047429404","4,704738827099098"
6685,324A02,Br. Canódromo,Auto Norte - CL 127B Bis,"-74,05368673046533","4,710238372862629"
6691,072A02,Unidad Residencial Granada Norte,CL 167 - KR 51,"-74,0527133537527","4,749046043983511"
6703,318A02,Estación Calle 146,Auto Norte- CL 150,"-74,049996060511","4,732205083841999"
6738,325A01,Br. Villas de Andalucía,KR 11 - CL 183,"-74,03327478567643","4,759979103316994"
6741,333A01,Verbenal San Antonio,KR 11 - CL 187A-26,"-74,03231600029896","4,764562000461058"
6753,437A01,Gimnasio La Arboleda,KR 8C - CL 183,"-74,03009661267654","4,76177010534502"
6787,590A01,Br. San Isidro,DG 100A Bis - KR 3A Este,"-74,02279257010318","4,672683190975238"
6789,416A01,Br. Soratama KR 6A,KR 6A - CL 166-40,"-74,02192879863499","4,743245554853762"
6795,608A01,Br. Soratama CL 167,CL 167 - KR 5,"-74,02088852168822","4,743323546261892"
6796,605A01,Br. Soratama CL 167,CL 167 - KR 4,"-74,02070577651165","4,743340418825187"
6808,594A01,Br. San Isidro,KR 11 E - CL 96C,"-74,01914281391849","4,667396295485483"
6814,511A01,Br. La Sureña,KR 9 Este - CL 102,"-74,0182659998107","4,671027000287542"
6819,559A01,Br. Cerros Norte KR 1A Este,KR 1A Este - CL 161,"-74,01754371120312","4,732594359468448"
6829,556A01,Br. Cerros Norte KR 3 Este,KR 3 Este - CL 161-13 AL LADO,"-74,01638176912921","4,730541848437559"
6832,484A01,Br. Cerros Norte Kr 3A Este,KR 3A E - CL 160A,"-74,01600593108232","4,729531814479482"
6840,634A08,Br. Gran Britalia,KR 80H - CL 51 Sur,"-74,1728600558683","4,618818231258483"
6848,554A13,IED José Joaquín Castro,KR 3 Este - CL 31B Sur,"-74,09191400018848","4,560120000249182"
6851,551A13,Br. Bello Horizonte,KR 1 - CL 30 Sur,"-74,09192731411932","4,563621082515898"
6883,012A12,Br. El Porvenir II Sector,KR 7H - CL 65GBis Sur,"-74,11549696738761","4,5327280254397495"
6890,382A07,Br. San Francisco,KR 43B - CL 5A,"-74,11014387247356","4,619633048334593"
6899,571A11,Br. Tunjuelito,KR 7A - CL 53 Sur,"-74,12316070707882","4,555581664956492"
6902,438A09,Br. Carvajal,KR 69B - CL 37B Sur,"-74,13948636565891","4,612023593740761"
6904,073A06,Br. La Cabaña,KR 103 - KR 23I,"-74,13629691610728","4,682653752952382"
6905,047A06,Br. San José De Fontibón,KR 103 - KR 24B,"-74,13464593658259","4,684825429214075"
6908,119A09,Br. La Primavera,CL 78 Sur - KR 77K,"-74,20865838436946","4,606751577929369"
6929,335A06,Br. San Pablo Jericó,CL 17D - KR 117,"-74,15512599972115","4,684987000256667"
6945,047A07,Br. El rincon de Los Angeles,AC 8 - KR 73,"-74,13956897024087","4,637271507723939"
6946,220A05,Br. Linterama,TV 113F - CL 64B,"-74,1389094397357","4,71055265148952"
6956,040A04,Br. Villas de Granada,KR  114 - CL 72G,"-74,12857800009466","4,716171999793673"
6983,372A12,Br. Nuevo Progreso,KR 6E - CL 92 Sur,"-74,1032064179946","4,498370624431915"
6989,381A03,Urb. La Trinitaria,CL 136 - KR 100,"-74,09416200005101","4,737660000516597"
6995,117A13,Br. La Cabaña,KR 13F Este - CL 76B Sur,"-74,09169999992825","4,5126770004947785"
6997,138A13,Br. Juan Rey,CL 70 Sur - KR 12A E,"-74,09092891573276","4,523354307427483"
6998,506A03,Br. Campiña del Refous,CL 148 - KR 101,"-74,09092171573576","4,746421886987004"
6999,148A13,Br. Los Libertadores,CL 56 Sur - TV 12B E,"-74,08960288738905","4,533086751490439"
7003,443A00,Br. La Estanzuela,AK 18 - CL 5,"-74,08859544206926","4,598268316385092"
7004,396A03,Br. La Campiña,CL 148 - KR 97,"-74,08710870691786","4,744854655172178"
7006,577A03,Suba Centro,KR 90 - CL 147B,"-74,08338921541595","4,742202082536809"
7012,274A13,Br. La María,KR 2 - CL 7A Sur,"-74,08196100011541","4,577174000131007"
7014,483A03,Colegio Veintiún Angeles,KR 90 - CL 154A,"-74,0802974828043","4,74934418189069"
7024,180A02,Instituto Sikuani,CL 129 - KR 59A,"-74,07193500024741","4,719397000356712"
7028,139A00,Br. Samper,AC 32 - KR 13,"-74,0694499996601","4,619145000412212"
7038,BD-001A,Br. La Merced,AK 7 – CL 34,"-74,06670793627279","4,622065954108006"
7042,243A02,Subestación Eléctrica Cerro-Suba,KR 74A - CL 169B,"-74,06651687539163","4,755404759046972"
7043,698A00,SENA - Centro de Gestión de Mercados,AV. Caracas - CL 51,"-74,06635704533966","4,639092524600341"
7049,BD-003A,Parque Nacional,AK 7 – CL 37,"-74,06589884884919","4,624902783700239"
7054,701A00,Estación Calle 63,AV. Caracas - CL 60,"-74,06485385664548","4,647625108154635"
7059,283A02,Parque Pijao,KR 67 - CL 169,"-74,06367731425327","4,75310200977552"
7060,703A00,Br. Chapinero Norte,AV. Caracas - CL 66,"-74,06357822019595","4,653535013699197"
7077,BD-013A,U. La Salle,AK 7 – CL 61,"-74,06037314534825","4,646514735450073"
7086,082A00,Br. Antiguo Country,AC 85 - KR 16A,"-74,05672900004082","4,6708769999791535"
7087,BD-051A,AK 11,CL 76 - AK 11,"-74,0574880000991","4,6618480005202665"
7090,232A02,Br. Britalia,KR 48 - CL 165,"-74,04922100037209","4,747073999781157"
7099,261A02,Britalia Las Margaritas,CL 163B - KR 49,"-74,05089553013028","4,747388019086348"
7104,BD-032A,Calle 82,AK 7 - CL 81,"-74,0491290721758","4,662780826864798"
7121,BD-040A,Chicó Reservado,AK 7 - CL 97A,"-74,0397813362799","4,678179087430654"
7122,423A01,Canal Río Torca,CL 192 - KR 18,"-74,03895631992972","4,770688804095691"
7141,270A06,Urb. Santa María,CL 20 - KR 68C,"-74,11513500022703","4,646919999869935"
7144,271A06,BOMBEROS MONTEVIDEO,CL 20 - KR 68A,"-74,11266899990629","4,644880000531527"
7151,BD-062A,Bella Suiza,AK 7 - CL 127B,"-74,02875023659334","4,705249045564895"
7163,389A13,Br. Buenos Aires,CL 9 Sur - KR 2E,"-74,07919569731169","4,574887780151576"
7165,432A06,Br. Belén Fontibón,KR 111A - CL 20B,"-74,14859154654663","4,683154726415845"
7167,591A11,Br. Lucero Medio,KR 18C - CL 65D Sur,"-74,14385200007331","4,553277000033064"
7179,667A01,Br. Acacias Usaquén,CL 147 - KR 9,"-74,03325899958195","4,725738000520229"
7189,525A12,Urb. Rincón de Bolonia,CL 79 Sur - KR 9 Este,"-74,09916300028945","4,510977999906029"
7196,623A03,Br. Tibabuyes Universal,CL 139 - TV 127,"-74,1087909997742","4,745564000082494"
7204,268B11,IED Confederación Suiza,KR 18E - DG 69C Sur,"-74,14780406989385","4,548193766604756"
7226,071C10,Universidad Distrital,AV. V/cio – AV. J. Gaitán C.,"-74,15723899986448","4,579833000028467"
7227,140B11,Br. Bella Flor,CL 72C Sur – KR 26C Bis,"-74,15883329569473","4,546913014738025"
7230,593A11,Br. San Carlos,KR 19C - CL 56 Sur,"-74,13653199982724","4,567560000273646"
7237,322B11,Br. Las Acacías,KR 19G - CL 62 Sur,"-74,143830000332","4,5626220000396485"
7242,020B03,Br. Tuna Baja,CL 15 KR - 101A,"-74,08972900007515","4,753559000113176"
7246,385A07,Rosales de Nueva Castilla,CL 7 - KR 90,"-74,15743700023117","4,6527210003528445"
7255,486A05,Br. San Ignacio,DG 47 - TV 76A,"-74,11324100036681","4,6734259998797665"
7259,356A01,Segundo Mirador,Vìa La Calera - KR 2A Este,"-74,02398699974935","4,675427000127796"
7269,641A08,Br. El Anhelo,CL 56F Sur - KR 97B,"-74,19246800039306","4,637658000561306"
7271,526A12,Br. Puerto Rico,KR 9F - DG 40 Sur,"-74,1075449996442","4,563545000031242"
7277,399A07,Cedros de Nueva Castilla,KR 90 - CL 6D,"-74,15694000011372","4,650310000314608"
7282,490A05,Homecenter Calle 26,KR 85K - CL 26,"-74,1181749997598","4,678734000078785"
7288,403A10,Br. Bravo Páez,CL 38A Sur - KR 29,"-74,12171300013325","4,586333999892139"
7289,669A01,Centro María Auxiliadora,AC 170 - KR 8,"-74,0270039997159","4,747283000141938"
7295,312B11,IED San Francisco,CL 64 Sur - KR 21A,"-74,14649400012115","4,565766000107269"
7297,605A11,Br. Arborizadora Alta I,CL 69J Sur - TV 38,"-74,15738600017757","4,568223000289699"
7302,206B11,CED Arborizadora Alta,KR 42 - CL 70C Sur,"-74,16059099956676","4,568616000334016"
7332,535A12,Br. Las Lomas,CL 36D Sur - KR 11B,"-74,10858300026005","4,567274000288205"
7333,568A13,Marbella Reservado,KR 3 - CL 6 Sur,"-74,08127499985207","4,5795399998588"
7338,569A13,Br. La Victoria,,"-74,09095699976348","4,553404999954804"
7342,865A00,Estación Calle 100,Auto Norte - CL 98,"-74,05708100039331","4,6858240000271785"
7345,491A05,Br. Villa Luz,KR 77A - CL 63C,"-74,10845799968827","4,679923999995912"
7347,537A12,IED Oswaldo Guayasamín,KR 4 - CL 96B Sur,"-74,11103899963673","4,498993999960602"
7349,539A12,Br. Comuneros,KR 2 - CL 91 Sur,"-74,10819099972458","4,4980920005638145"
7353,447A04,Br. Las Ferias,CL 77 - KR 69Q,"-74,08737900010537","4,688393000429021"
7362,637A09,Br. Alquería,CL 40 Sur - KR 52,"-74,13255499996096","4,599491999815474"
7367,099D09,Carvajal,AV. 1 de Mayo - KR 69C,"-74,1373449652779","4,616058791944063"
7370,159E08,Plaza de las Américas,AV. 1 de Mayo - KR 69C,"-74,1361900004188","4,615179000354142"
7374,642A09,Br. Islandia,KR 84 - CL 73B Sur,"-74,19763500031286","4,615248000073901"
7386,869A00,Br. El Chicó,AC 92 - KR 19,"-74,05540000007015","4,6775769997577825"
7403,407A07,C.R. Reserva Grande,AV. Centenario - KR 98,"-74,15075300001973","4,667813000114033"
7405,665B00,Estación Universidades,KR 3 - CL 20,"-74,06725000037648","4,604474000356818"
7409,549A12,Desarrollo Tenerife,AV. Boyacá - AV. Caracas,"-74,11461499964503","4,508068999854351"
7410,409A07,El Ejido,Av. Américas - KR 47,"-74,10395600011545","4,626772999971101"
7423,678A01,Urb. Cedro Bolívar,CL 152 - KR 19A,"-74,04562000024943","4,733916999888749"
7426,412A10,Br. Espinos,KR 77C - CL 66 Sur,"-74,18000999964119","4,581267999871488"
7433,010B12,C.C. Altavista,AV. Caracas - CL 67A Sur,"-74,11897499982597","4,5304280005344655"
7438,146B01,Estación Calle 187,Auto Norte - CL 187,"-74,04384199984186","4,76423900016788"
7439,276B09,Desarrollo Las Margaritas,CL 63 Sur - KR 91,"-74,19617200044787","4,629400999882076"
7440,031B09,Colegio Santiago de las Atalayas,AK 89B - CL 59C Sur,"-74,19345099985902","4,629277999991503"
7452,025B08,C.C. Milenio Plaza,AV. C. de Cali - CL 42F Sur,"-74,1692170002173","4,62950300029926"
7455,039B12,IED Miguel de Cervantes,AV. Caracas - CL 76B Sur,"-74,11503200029487","4,5113500004528575"
7458,047B09,Br. Gualoche,CL 65 Sur - KR 77M,"-74,18196499960078","4,601059999907142"
7461,405B05,Br. Centro Engativá II,CL 67A - TV 113B Bis,"-74,13567599968457","4,70928900056641"
7468,102B13,C.C. Bazar 20 de Julio,AV. 1 de Mayo - KR 7,"-74,09238500036669","4,573341999724846"
7469,023B07,Salazar Gómez,AV. Centenario - KR 56,"-74,11080600000824","4,630551000503442"
7470,650A09,Pq. Laureles Alborada,AV. C. de Cali - KR 81F,"-74,20115799971938","4,6124260000811494"
7474,654A09,Br. Islandia - Santa Lucía,AV. C. de Cali - CL 72A Sur,"-74,19618800034141","4,612987000406567"
7475,655A09,Río Tunjuelo,AV. C. de Cali - CL 69 Sur,"-74,19338200026205","4,615027000376831"
7479,076B11,Estación Biblioteca,AV. V/cio - CL 51 Sur,"-74,1296710000638","4,5707640003788645"
7483,163B02,Colegio San Simón,AC 170 - KR 56,"-74,05647999962048","4,7534530000463135"
7487,275B09,Br. Las Margaritas,CL 63 Sur - KR 93C,"-74,19695900009525","4,631179000483329"
10,114A11,Br. San Antonio,AC 1 - KR 19,"-74,09500177751796","4,593588326927736"
11,115A11,Br. San Antonio,AC1 - KR 18,"-74,09304062859026","4,593069053590608"
12,066A11,Br. San Antonio,AC 1 - AV. Caracas,"-74,09038469836733","4,592270335485809"
13,086A12,Br. La Hortúa,AC 1 - KR 12,"-74,087248587184","4,590670171789417"
17,162B01,Escuela de Infantería,AC 100 - KR 8,"-74,03919631024776","4,680592034886111"
42,170A03,Br. Los Andes,AC 100 - KR 65A,"-74,07030068626787","4,689346940400489"
77,140A02,Br. Mónaco,AC 116 - KR 53B,"-74,064004766344","4,7010976425173014"
93,184A01,Hotel Estelar la Fontana,AC 127 - KR 15A,"-74,04387738178598","4,704390873134114"
102,078A02,C.C. Bulevar Niza,AC 127 - AV. Villas,"-74,06893739400954","4,71131638576855"
109,184A03,C.C. Niza,AC 127 - KR 60,"-74,07331157858881","4,710665857080115"
110,077A02,C.C. Bulevar Niza,AC 127 - AV. Suba,"-74,07099536425686","4,710957575340759"
116,145A02,Auto Norte,AC 127 - KR 46,"-74,05614792749424","4,706858703216532"
125,837A00,Br.El Listón,AC 13 - KR 20,"-74,08568795122743","4,60902045377237"
126,712A00,Estación San Façon - Cra. 22,AC 13 - TV 22,"-74,0874129681012","4,610528057262336"
127,838A00,Estación Ricaurte,AC 13 - KR 27,"-74,08965161201006","4,612546274594005"
131,371A07,Br. El Ejido,AC 13 - KR 42,"-74,10051730400507","4,62221247097654"
138,110A06,Br. Franco,AV. Centenario - KR 69B,"-74,12480700727922","4,647037736434752"
140,019A06,Br. Ciudad Hayuelos,AV. Centenario - AV. C. de Cali,"-74,13446512008893","4,657896061774974"
148,012A06,Br. Santiago,AV. Centenario - KR 115,"-74,15583261811689","4,681778922204656"
151,009A06,Br. Puente Grande,AV. Centenario - KR 134A,"-74,16856700083729","4,6940927053991315"
152,009A07,Br. Kasandra,AV. Centenario - KR 134A-53,"-74,1686358854499","4,693858611593737"
153,010A07,Br. El Charco,AV. Centenario - KR 127,"-74,16333768748117","4,689585231131835"
159,016A07,Br. El Tintal - Santa Helena,AV. Centenario - KR 96J,"-74,14707190790298","4,666122784934844"
163,057A07,Br. El Vergel,AV. Centenario - KR 82,"-74,13499790459574","4,658042975904662"
182,262A01,Br. Lisboa,AC 134 - KR 7B,"-74,03151662456193","4,712532492826239"
191,023A02,C.C. Paseo San Rafael,AC 134 - KR 55A,"-74,06243402883204","4,72265586367348"
199,118A02,Br. La Sultana,AC 134 - KR 53 B,"-74,05910879353532","4,720215329134327"
204,038A01,Country Club,AC 134 - KR 17,"-74,04276783035773","4,716061004636111"
213,244A00,Pl. Las Nieves,AC 19 - KR 9,"-74,07266022904089","4,6061508888311735"
222,007B00,Br. El Listón,AC 19 - KR 22,"-74,0822130000105","4,613304999963261"
226,067B00,C.C. Calima,AC 19 - AK 27,"-74,0861120252118","4,6166221416163555"
238,131B07,Br. Estación Central,AC 19 - KR 32,"-74,09022086452413","4,61998983349077"
239,258A00,Complejo Judicial Paloquemao,AC 19 - KR 28A,"-74,08683647067436","4,616767731079284"
248,250B00,Br. La Favorita,AC 19 - KR 16,"-74,07825614935604","4,609897058171582"
262,459A05,Contraloría de Bogotá D.C.,AC 26 - KR 31A,"-74,08182887680174","4,628486662965994"
264,461A05,Estación Corferias,AC 26 - KR 39,"-74,08784678431485","4,633863652563935"
267,391A05,Estación Gobernación,AC 26 - KR 54,"-74,09558885889548","4,642115499285592"
272,480A05,Compensar CUR,AC 26 - KR 69,"-74,10626710303342","4,658803791408329"
292,377A06,Estación Modelia,AC 26 - KR 82,"-74,11689004598414","4,6738727132183895"
314,032A07,Br. Comuneros,AC 3 - KR 31B,"-74,10286581726304","4,604884609396134"
366,479A05,Br. Salitre El Greco,AC 53 - KR 66A,"-74,09722198440393","4,6549686969288455"
368,164A05,Br. Salitre Greco,AC 53 - KR 67,"-74,09855516782886","4,655586314167111"
370,161A05,Br. La Esmeralda,AC 53 - KR 59,"-74,09215835452218","4,650819594086132"
375,137A05,ICONTEC,AC 53 - KR 37,"-74,08253871475948","4,64375051996604"
379,390A00,Banco Central,AC 53 - KR 18,"-74,07037661726557","4,641003441774548"
389,156A05,Pq. de los Novios,AC 63 - KR 45,"-74,08144094383788","4,65275886491609"
403,150A05,Bibl. Virgilio Barco,AC 63 - AK 60,"-74,08787630115845","4,658123763173371"
413,326A00,Av. Caracas,AC 68 - KR 14A,"-74,06406732322375","4,655441679984765"
435,185B05,IED Centro Obrero,AC 68 - KR 62,"-74,08277584573997","4,672736252681318"
439,187B05,Hsp. Infantil San José,AC 68 - KR 52,"-74,07820699713695","4,6660752729289285"
440,149A00,IED Alemania Solidaria Sede C,CL 66 - KR 28B,"-74,07505107181339","4,660271877396257"
442,150A00,Colegio Marillac,CL 66 - KR 27A,"-74,07329440639381","4,6590584693173565"
466,157C04,Br. Las Ferias,AC 72 - KR 69K,"-74,09072912682032","4,6832084838843295"
476,113A04,Br. Tabora,AC 72 - KR 80,"-74,10232678407512","4,6931426405176095"
477,113B04,Br. Tabora,AC 72 - KR 80,"-74,10220368883004","4,693088606269382"
482,309D04,Br. Almería,AC 72 - KR 83,"-74,10425442853766","4,694677150360751"
515,177D05,Avenida Ciudad de Cali,AC 72 - AV. C. Cali,"-74,10634162906601","4,696051690074449"
518,176C05,Br. Santa Helenita,AC 72 – KR 80C,"-74,10266116576996","4,693186852388705"
525,179C05,Br. Boyacá,AC 72 – KR 74A,"-74,09775940691254","4,68927269069131"
529,181A05,Br. La Estrada,AC 72 - KR 69K,"-74,09047168942283","4,682579395989499"
541,006A00,Monumento Rafael Uribe Uribe,AC 72 - KR 29,"-74,07184048849638","4,666416834452805"
546,395A00,Estación Calle 72,AC 72 - KR 13,"-74,06106067634084","4,65856749489328"
556,151A04,Br. El Madrigal,AC 80 - KR 101,"-74,11200279671517","4,709380606776644"
565,415A04,Estación Av. Boyacá,AC 80 - KR 70F,"-74,08748047110493","4,6939477649139185"
566,416A04,Br. El Manantial,AC 80 - AK 70,"-74,0860100574439","4,6922823590654215"
571,421A04,Br. Jorge Eliecer Gaitán,AC 80 - KR 58,"-74,07483789890152","4,6785446251555705"
577,168A00,Estación Polo,AC 80 - KR 27,"-74,06449542345725","4,670660845338348"
578,554A03,Estación Escuela Militar,AC 80 - KR 50,"-74,06860733051626","4,675017523519224"
598,320A04,Br. El Cortijo,AC 80 - AK 114,"-74,12214439179395","4,723157278378116"
628,676A00,Estación Bicentenario,AK 10 - CL 4,"-74,08177157776134","4,593816971298009"
630,785A00,Br. Centro Administrativo,AK 10 - CL 9,"-74,0787548598658","4,598560823548004"
638,219A00,Br. Chicó Norte,AK 11 - CL 94A,"-74,04573596915935","4,678263989073713"
647,222B00,Pquia. La Inmaculada Concepción,AK 11 - CL 88,"-74,04932871376454","4,671321406777914"
653,224B00,Br. Espartillal,AK 11 - CL 79,"-74,0541487843216","4,664043156196061"
654,225A00,Br. Porciúncula,AK 11 - CL 74,"-74,05717734650419","4,659555479823588"
663,229B00,Clínica del Niño,AK 11 - CL 67,"-74,06125736696387","4,653283962661554"
667,231A00,Pq. Lourdes,AK 13 - CL 63A,"-74,06351260904422","4,6500488162512905"
690,191A00,FECODE,AK 13 - CL 34,"-74,06813777662568","4,622316244413058"
707,297A01,Calle 112,AK 15 - CL 112,"-74,04355828402737","4,69514304805946"
708,297B01,Calle 112,AK 15 - CL 114A,"-74,04337675067814","4,695724220714701"
716,300A00,U. Sergio Arboleda,AK 15 - CL 75,"-74,05993285497635","4,66151596233751"
721,303B00,C.C. Atlantis Plaza,AK 15 - CL 79,"-74,05741963022115","4,665799665448"
726,306A00,Pq. El Virrey,AK 15 - CL 87,"-74,05409121219336","4,672434035926984"
730,308A00,C.C. La Plazuela,AK 15 - CL 91,"-74,05266878024662","4,675239756977642"
736,312B00,Br. Chicó Norte II Sector,AK 15 - CL 97,"-74,04903491885254","4,682259091805797"
751,018B01,Br. Santa Bárbara Central,AK 15 - CL 122,"-74,0427584366748","4,701842287007712"
759,351B00,Alcaldía Local de Teusaquillo,KR 19 - CL 39A,"-74,07266416096691","4,62896524291751"
773,354C00,Centro Johann Kepler,KR 17 - CL 61,"-74,06780944328764","4,64885937186636"
782,099A00,Br. San Felipe,KR 20A - CL 74,"-74,06245181277974","4,661508141509061"
784,308A01,Pquía. Santa María Magdalena,AK 19 - CL 154,"-74,04367007487289","4,737692159543479"
787,306A01,Calle 148,AK 19 - CL148,"-74,045234649942","4,730914057862979"
792,616A01,Colegio Siervas de San José,AK 19 - AC 131,"-74,04770076165383","4,715180019615638"
794,031A01,Calle 127A,AK 19 - CL 127A,"-74,0486721126655","4,708070825996733"
800,293A01,AC 100,AK 19 - AC 100,"-74,05185199965095","4,687999999741203"
827,020A00,Siete de Agosto,AK 24 - CL 66,"-74,07042802964591","4,6579826312201575"
828,337A00,Quinta Mutis,AK 24 - CL 63C,"-74,07195604957116","4,654534530678073"
839,399B00,Colombia,AK 24 - AC 72,"-74,06781803567334","4,661736308211434"
857,028A11,Pq. El Tunal,AK 24 - AV. Boyacá,"-74,13747378818123","4,573880768006896"
858,026A11,INEM Tunal,AK 24 - CL 52 Sur,"-74,13354394537578","4,575446974333205"
885,081A10,IED Libertador Sede B,AK 27 - CL 31B Sur,"-74,1169891912454","4,588626211345948"
