FID,Código Único Paradero SITP,Nombre Paradero,Dirección Paradero,coord_x,coord_y
550,018A04,Br. Engativá El Dorado,AC 80 - AK 114,"-74,12302413890114","4,723550323674909"
563,414A04,Estación Granja - Cr. 77,AC 80 - KR 77,"-74,0944978828307","4,697972053289884"
572,422A04,Br. Jorge Eliecer Gaitán,AC 80 - KR 55,"-74,07192185609817","4,6765958401919105"
574,169A00,Estación El Polo,AC 80 - KR 27,"-74,06429359447077","4,6697714361207385"
576,708A00,Br. Polo Club,AC 80 - KR 22,"-74,0624596694452","4,668111194326851"
579,555A03,Estación Carrera 47,AC 80 - KR 56Bis,"-74,07359169575226","4,678197230246883"
581,557A03,Estación Carrera 53,AC 80 - KR 64,"-74,07769157975952","4,682431015097992"
599,017A04,Gimnasio Moderno Montesoriano,AC 80 KR 116B,"-74,12386531324834","4,725193444105288"
615,360A12,Estación Country Sur,AK 10 - CL 27A Sur,"-74,09879284049349","4,571487574234883"
620,021A13,Br. 20 de Julio,AK 10 - CL 27A Sur,"-74,09836611468239","4,571413056949045"
627,527A13,IED Antonio José Uribe,AK 10 - CL 2,"-74,08319951009258","4,591573716369606"
629,784A00,Pq. Tercer Milenio,AK 10 - CL 7,"-74,08020057883965","4,596351082340748"
642,044A00,Embajada de Francia,AK 11 - CL 92,"-74,04795713814097","4,673951357936259"
651,223B00,C.C. Andino,AK 11 - AC 82,"-74,05251859360922","4,666462478761495"
662,229A00,Clínica del Niño,AK 11 - CL 67,"-74,06135253718003","4,653047048288583"
671,232C00,Cuerpo Oficial de Bomberos de Bogotá,AK 13 - CL 61,"-74,06377917422333","4,648451483364762"
674,098C00,Br. Chapinero Central,AK 13 - CL 58,"-74,064324341108","4,645118161312262"
676,233B00,Tecnoparque SENA,AK 13 - CL 54,"-74,06486697923516","4,6418577539843175"
678,198A00,Fundación Oftalmológica Nacional,AK 13 - CL 50,"-74,06560539080544","4,6374214946012"
682,234B00,Universidad Piloto,AK 13 - CL 46,"-74,06623429145439","4,633700853846439"
719,302B00,C.C. Unilago,AK 15 - CL 77,"-74,0581384854677","4,664493990492078"
724,305A00,C.C. Artelana,AK 15 - CL 86A,"-74,05490823533415","4,670717631779025"
741,277B01,Br. Rincón del Chicó,AK 15 - CL 101,"-74,04772317821345","4,686352285401457"
742,278A01,Avenida Calle 106,AK 15 - CL 105A,"-74,04598108346777","4,690147298977124"
768,353A00,Clínica Eusalud (Br. Chapinero Occidental),KR 17 - CL 54A,"-74,06888392269055","4,643098524576031"
780,100A00,Br. Concepción Norte,KR 17 - AC 72,"-74,06375391808912","4,659398526489335"
781,100B00,Br. Concepción Norte,KR 17 - CL 71,"-74,06344760695028","4,65988112168602"
788,305A01,Br. Los Cedros,AK 19 - CL 145,"-74,04586006692426","4,727229762312253"
818,287A01,Br. Estrella del Norte,AK 19 - CL 154,"-74,04331742953002","4,738070245094402"
826,336A00,Los Alcázares,AK 24 - AC 68,"-74,0693054149168","4,659777674306428"
842,591A00,Br. Polo Club,AK 24 - CL 82,"-74,06309001997501","4,670839978899638"
848,017A10,Br. Murillo Toro,AK 24 - AC 36 Sur,"-74,11839706329803","4,581799123148996"
871,322A00,Br. Ricaurte,AK 27 - CL 9,"-74,09216848302701","4,608671327819473"
872,322B00,Br. Ricaurte,AK 27 - CL 10,"-74,09199591935588","4,608897031294695"
879,048A00,Br. Santa Isabel,AK 27 - CL 1A,"-74,10194573939285","4,596278666526916"
903,004A07,Br. San Rafael Industrial,AK 50 - CL 5C-81,"-74,10929292804933","4,624266865580802"
921,398A10,Br. Arboleda del Rey,KR 50 - Auto Sur,"-74,12676047471292","4,592710626138917"
924,005A09,Barrio San Luis,AK 50 - CL 37 Sur,"-74,12500420634872","4,597853149401165"
926,015A08,Br. Remanso Sur,AK 50 - CL 19 Sur,"-74,12047614485286","4,603798962872005"
932,006A07,Br. Brasilia,AK 50 - CL 4C,"-74,11294409099575","4,618611665598037"
933,087A07,Br. San Francisco,AK 50 - TV 46,"-74,11082581055518","4,6214001944137255"
951,105A04,Éxito Calle 80,AK 68 - AC 80,"-74,08028620715085","4,683171144724118"
960,125A05,Br. Bellavista Occidental,AK 68 - CL 68B,"-74,0872861259831","4,675582086704122"
966,123D05,Cruz Roja,AK 68 - CL 68B,"-74,08840990942038","4,673734547967787"
969,120B05,Colegio Cafam,AK 68 - AC 63,"-74,09165638312794","4,668983793061946"
994,065D06,Colsanitas,AK 68 - AV. Esperanza,"-74,10629325029637","4,650076501628693"
1016,072D07,Br. Lusitania,AK 68 - CL 11,"-74,1202308005757","4,63473491216859"
1020,096C07,Colegio Nicolás Esguerra,AK 68 - CL 9C,"-74,12134981126388","4,6320171915931585"
1021,096B07,Colegio Nicolás Esguerra,AK 68 - CL 9,"-74,12169429900568","4,631240349394126"
1029,098B07,Br. La Igualdad,AK 68 - AC 3,"-74,12497415051592","4,622699616916972"
1032,001C08,Br. Hipotecho Sur,AK 68 - CL 1 Sur,"-74,1258031967085","4,620200994818664"
1038,501B08,Br. Villa Claudia,AK 68 - CL 9B Sur,"-74,12689737796222","4,6167693087750825"
1047,088A09,Br. Alquería La Fragua,AK 68 - CL 30 Sur,"-74,13063798256823","4,606837572513038"
1057,084A09,Br. Alquería La Fragua,AK 68 - CL 38H Sur,"-74,13575901659324","4,599146644289384"
1058,001B09,Br. Alquería La Fragua II,AK 68 - CL  39G Sur,"-74,13646056669417","4,598076388518872"
1070,087C09,Br. El Tejar,AK 68 - CL 34 Sur,"-74,13110829463692","4,605383241968429"
1073,154C08,Br. Provivienda Norte,AK 68 - CL 23 Sur,"-74,12841822124666","4,6105874649241745"
1074,154D08,Br. Provivienda Norte,AK 68 - AV. 1 de Mayo,"-74,12832670986865","4,609692326400215"
1077,002A08,Br. Milenta,AK 68 - CL 15 Sur,"-74,12736918572584","4,613974288879383"
1079,002D08,Br. Milenta,AK 68 - CL 18 Sur,"-74,12768075650068","4,612975629653948"
1091,100D07,Avenida Calle 3,AK 68 - CL 1,"-74,12477627142178","4,622225533875155"
1093,099B07,Avenida Américas,AK 68- CL 4G,"-74,12272187018108","4,627785006989119"
